# ============================================================================
# CHAOS REDUX - EVENT 006 INDEPENDENCE WAVE IDEAS REGISTRY
# ============================================================================
# Definition-only source consolidation. Original identifiers, values, and
# section order are preserved; source markers retain package provenance.
# Identical file-scoped constants are emitted once at the registry header.
# ============================================================================

# Consolidated file-scoped constants
@cat_traditional_stability = 0.08
@cat_traditional_war_support = 0.10
@cat_traditional_recruitable = 0.05
@cat_emergency_defense = 0.12
@cat_emergency_org = 0.10
@cat_emergency_training = -0.10
@cat_patron_trade = 0.10
@cat_patron_stability = -0.02
@cat_patron_factory = 0.06
@bbx_crisis_stability = -0.10
@bbx_crisis_supply = 0.10
@bbx_crisis_defense = -0.06
@bbx_mature_stability = 0.08
@bbx_mature_supply = -0.06
@bbx_mature_defense = 0.10
@bbx_constitutional_pp = 0.08
@bbx_constitutional_stability = 0.05
@bbx_constitutional_research = 0.03
@bbx_popular_factory = 0.08
@bbx_popular_construction = 0.06
@bbx_popular_consumer = -0.04
@bbx_traditional_stability = 0.09
@bbx_traditional_war_support = 0.08
@bbx_traditional_recruitable = 0.04
@bbx_emergency_defense = 0.12
@bbx_emergency_org = 0.08
@bbx_emergency_training = -0.08
@bbx_patron_trade = 0.10
@bbx_patron_dependency = 0.08
@CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_ATLANTIC_CONVOY_DEFENCE = 0.10
@CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_ATLANTIC_NAVAL_COORDINATION = 0.05
@CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_CELTIC_DEFENCE = 0.05
@CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_CELTIC_RECRUITABLE_POPULATION = 0.01
@CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_COORDINATED_STABILITY = 0.03
@CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_INTEGRATED_EFFICIENCY = 0.05
@CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_INTEGRATED_FACTORY = 0.08
@CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_INTEGRATED_STABILITY = 0.05
@CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_INTEGRATED_TRADE = 0.10
@CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_PROVISIONAL_CONSUMER_GOODS = 0.03
@CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_PROVISIONAL_STABILITY = -0.05
@CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_RHENISH_INFRASTRUCTURE = 0.10
@CR_SC_INDEPENDENCE_WAVE_FORM0124_MODIFIER_RHENISH_SUPPLY_CONSUMPTION = -0.10
@CR_SC_INDEPENDENCE_WAVE_FORM03_MODIFIER_DUAL_COMPROMISE_CONSUMER_GOODS = 0.02
@CR_SC_INDEPENDENCE_WAVE_FORM03_MODIFIER_FULL_CONSUMER_GOODS = -0.03
@CR_SC_INDEPENDENCE_WAVE_FORM03_MODIFIER_FULL_EFFICIENCY_GAIN = 0.05
@CR_SC_INDEPENDENCE_WAVE_FORM03_MODIFIER_FULL_STABILITY = 0.05
@CR_SC_INDEPENDENCE_WAVE_FORM03_MODIFIER_FULL_TRADE = 0.10
@CR_SC_INDEPENDENCE_WAVE_FORM03_MODIFIER_INDUSTRIAL_DIRECTORATE_FACTORY = 0.08
@CR_SC_INDEPENDENCE_WAVE_FORM03_MODIFIER_INDUSTRIAL_DIRECTORATE_STABILITY = -0.08
@CR_SC_INDEPENDENCE_WAVE_FORM03_MODIFIER_LANGUAGE_COMPROMISE_CONSUMER_GOODS = 0.05
@CR_SC_INDEPENDENCE_WAVE_FORM03_MODIFIER_LANGUAGE_COMPROMISE_STABILITY = 0.03
@CR_SC_INDEPENDENCE_WAVE_FORM03_MODIFIER_PROVISIONAL_CONSUMER_GOODS = 0.03
@CR_SC_INDEPENDENCE_WAVE_FORM03_MODIFIER_PROVISIONAL_FACTORY = -0.05
@CR_SC_INDEPENDENCE_WAVE_FORM03_MODIFIER_PROVISIONAL_STABILITY = -0.05
@CR_SC_INDEPENDENCE_WAVE_FORM03_MODIFIER_RUPTURE_CONSUMER_GOODS = 0.05
@CR_SC_INDEPENDENCE_WAVE_FORM03_MODIFIER_RUPTURE_FACTORY = -0.05
@CR_SC_INDEPENDENCE_WAVE_FORM03_MODIFIER_RUPTURE_STABILITY = -0.10
@CR_IW_FORM09_GENERAL_STAFF_ORG = 0.05
@CR_IW_FORM09_GENERAL_STAFF_RECOVERY = 0.05
@CR_IW_FORM09_GENERAL_STAFF_SUPPLY = -0.05
@CR_IW_FORM09_MEMBER_DEFENCE = 0.05
@CR_IW_FORM09_MEMBER_STABILITY = 0.03
@CR_SC_INDEPENDENCE_WAVE_FORM39_MODIFIER_CARRIER_CONVOY = 0.08
@CR_SC_INDEPENDENCE_WAVE_FORM39_MODIFIER_CARRIER_SUPPLY = -0.04
@CR_SC_INDEPENDENCE_WAVE_FORM39_MODIFIER_CARRIER_TRADE_OPINION = 0.08
@CR_SC_INDEPENDENCE_WAVE_FORM39_MODIFIER_MEMBER_CONVOY = 0.04
@CR_SC_INDEPENDENCE_WAVE_FORM39_MODIFIER_MEMBER_SUPPLY = -0.02
@CR_SC_INDEPENDENCE_WAVE_FORM39_MODIFIER_MEMBER_TRADE_OPINION = 0.05
@iw_iberian_crisis_stability = -0.10
@iw_iberian_crisis_supply = 0.10
@iw_iberian_crisis_factory = -0.05
@iw_iberian_mature_stability = 0.10
@iw_iberian_mature_supply = -0.06
@iw_iberian_mature_factory = 0.05
@ice_exposed_stability = -0.10
@ice_exposed_consumer = 0.05
@ice_exposed_convoy = -0.10
@ice_mature_stability = 0.05
@ice_mature_factory = 0.10
@ice_mature_convoy = 0.10
@ice_mature_trade = 0.10
@ice_council_pp = 0.10
@ice_council_research = 0.05
@ice_council_stability = 0.05
@ice_coastwatch_org = 0.10
@ice_coastwatch_speed = 0.05
@ice_patron_factory = 0.10
@ice_patron_trade = -0.05
@iw_start_pp = -0.20
@iw_start_consumer = 0.10
@iw_start_efficiency = -0.10
@iw_start_construction = -0.10
@iw_mitigated_pp = -0.10
@iw_mitigated_consumer = 0.05
@iw_mitigated_efficiency = -0.05
@iw_mature_pp = 0.10
@iw_mature_consumer = -0.05
@iw_mature_efficiency = 0.05
@iw_failure_pp = -0.30
@iw_failure_consumer = 0.15
@iw_failure_efficiency = -0.15
@iw_failure_stability = -0.10
@iw_unrecognized_trade = -0.30
@iw_unrecognized_opinion = -0.25
@iw_unrecognized_lend_lease = 0.15
@iw_observed_trade = -0.15
@iw_observed_opinion = -0.10
@iw_entrenched_trade = 0.20
@iw_entrenched_opinion = 0.15
@iw_blockade_trade = -0.45
@iw_blockade_opinion = -0.35
@iw_blockade_stability = -0.10
@iw_fragmented_org = -0.15
@iw_fragmented_planning = -0.15
@iw_fragmented_reinforce = -0.05
@iw_fragmented_training = 0.20
@iw_integrating_org = -0.05
@iw_integrating_planning = -0.05
@iw_professional_org = 0.10
@iw_professional_planning = 0.10
@iw_professional_reinforce = 0.05
@iw_warlord_org = -0.20
@iw_warlord_supply = 0.15
@iw_warlord_attack = 0.10
@iw_border_stability = -0.10
@iw_border_supply = 0.10
@iw_border_defence = 0.05
@iw_border_mitigated_stability = -0.05
@iw_border_mitigated_supply = 0.05
@iw_border_mature_defence = 0.10
@iw_border_mature_dig = 0.15
@iw_border_failure_stability = -0.15
@iw_border_failure_supply = 0.15
@iw_border_failure_war_support = 0.10
@iw_patron_pp = -0.05
@iw_patron_consumer = 0.05
@iw_patron_factory = 0.05
@iw_patron_balanced_pp = 0.05
@iw_patron_balanced_factory = 0.05
@iw_patron_independent_pp = 0.10
@iw_patron_independent_trade = 0.15
@iw_patron_captured_pp = -0.20
@iw_patron_captured_consumer = 0.10
@iw_patron_captured_factory = 0.10
@iw_instability_stability = -0.15
@iw_instability_factory = -0.10
@iw_instability_construction = -0.10
@iw_instability_supply = 0.10
@iw_instability_mitigated_stability = -0.05
@iw_instability_mitigated_factory = -0.05
@iw_instability_settled_stability = 0.10
@iw_instability_settled_construction = 0.05
@iw_instability_failure_stability = -0.20
@iw_instability_failure_factory = -0.15
@iw_instability_failure_supply = 0.15
@iw_league_consumer = 0.05
@iw_league_defence = 0.05
@iw_league_trade = 0.10
@iw_league_mature_consumer = -0.05
@iw_league_mature_defence = 0.10
@iw_league_mature_trade = 0.15
@iw_league_failure_stability = -0.10
@iw_league_failure_trade = -0.20
@iw_identity_stability = 0.05
@iw_identity_war_support = 0.05
@iw_identity_pp = 0.05
@iw_identity_factory = 0.05
@iw_identity_construction = 0.05
@iw_identity_defence = 0.05
@iw_identity_speed = 0.05
@iw_identity_supply = -0.05
@iw_identity_trade = 0.05
@iw_treasury_consumer = -0.05
@iw_treasury_efficiency = 0.05
@iw_treasury_construction = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_CIVIC_EFFICIENCY_GAIN = 0.10
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_CIVIC_FACTORY_OUTPUT = 0.10
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_CIVIC_STABILITY = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_CIVIC_SUPPLY_CONSUMPTION = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_CONTESTED_EFFICIENCY_GAIN = -0.10
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_CONTESTED_FACTORY_OUTPUT = -0.10
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_CONTESTED_STABILITY = -0.08
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_CONTESTED_SUPPLY_CONSUMPTION = 0.10
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_COORDINATED_ARMY_ORGANIZATION = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_COORDINATED_FACTORY_OUTPUT = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_COORDINATED_STABILITY = 0.02
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_COORDINATED_SUPPLY_CONSUMPTION = -0.05
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_SECURITY_ARMY_DEFENCE = 0.12
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_SECURITY_ARMY_ORGANIZATION = 0.08
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_SECURITY_FACTORY_OUTPUT = -0.05
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_SECURITY_STABILITY = -0.03
@CR_SC_INDEPENDENCE_WAVE_IW005_FLANDERS_MODIFIER_SECURITY_SUPPLY_CONSUMPTION = -0.10
@CR_SC_INDEPENDENCE_WAVE_IW022_DALMATIA_MODIFIER_CONTESTED_FACTORY_OUTPUT = -0.08
@CR_SC_INDEPENDENCE_WAVE_IW022_DALMATIA_MODIFIER_CONTESTED_STABILITY = -0.08
@CR_SC_INDEPENDENCE_WAVE_IW022_DALMATIA_MODIFIER_CONTESTED_TRADE = -0.15
@CR_SC_INDEPENDENCE_WAVE_IW022_DALMATIA_MODIFIER_COORDINATED_FACTORY_OUTPUT = 0.04
@CR_SC_INDEPENDENCE_WAVE_IW022_DALMATIA_MODIFIER_COORDINATED_STABILITY = 0.02
@CR_SC_INDEPENDENCE_WAVE_IW022_DALMATIA_MODIFIER_COORDINATED_TRADE = 0.08
@CR_SC_INDEPENDENCE_WAVE_IW022_DALMATIA_MODIFIER_MUNICIPAL_FACTORY_OUTPUT = 0.06
@CR_SC_INDEPENDENCE_WAVE_IW022_DALMATIA_MODIFIER_MUNICIPAL_STABILITY = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW022_DALMATIA_MODIFIER_MUNICIPAL_TRADE = 0.15
@CR_SC_INDEPENDENCE_WAVE_IW022_DALMATIA_MODIFIER_SECURITY_DEFENCE = 0.10
@CR_SC_INDEPENDENCE_WAVE_IW022_DALMATIA_MODIFIER_SECURITY_FACTORY_OUTPUT = -0.03
@CR_SC_INDEPENDENCE_WAVE_IW022_DALMATIA_MODIFIER_SECURITY_STABILITY = -0.02
@CR_SC_INDEPENDENCE_WAVE_IW022_DALMATIA_MODIFIER_SECURITY_SUPPLY = -0.08
@CR_SC_INDEPENDENCE_WAVE_IW025_VOJVODINA_MODIFIER_CONTESTED_FACTORY_OUTPUT = -0.08
@CR_SC_INDEPENDENCE_WAVE_IW025_VOJVODINA_MODIFIER_CONTESTED_STABILITY = -0.08
@CR_SC_INDEPENDENCE_WAVE_IW025_VOJVODINA_MODIFIER_CONTESTED_TRADE = -0.15
@CR_SC_INDEPENDENCE_WAVE_IW025_VOJVODINA_MODIFIER_COORDINATED_FACTORY_OUTPUT = 0.04
@CR_SC_INDEPENDENCE_WAVE_IW025_VOJVODINA_MODIFIER_COORDINATED_STABILITY = 0.02
@CR_SC_INDEPENDENCE_WAVE_IW025_VOJVODINA_MODIFIER_COORDINATED_TRADE = 0.08
@CR_SC_INDEPENDENCE_WAVE_IW025_VOJVODINA_MODIFIER_FEDERAL_DEFENCE = 0.08
@CR_SC_INDEPENDENCE_WAVE_IW025_VOJVODINA_MODIFIER_FEDERAL_FACTORY_OUTPUT = 0.02
@CR_SC_INDEPENDENCE_WAVE_IW025_VOJVODINA_MODIFIER_FEDERAL_STABILITY = 0.03
@CR_SC_INDEPENDENCE_WAVE_IW025_VOJVODINA_MODIFIER_FEDERAL_SUPPLY = -0.06
@CR_SC_INDEPENDENCE_WAVE_IW025_VOJVODINA_MODIFIER_MUNICIPAL_FACTORY_OUTPUT = 0.06
@CR_SC_INDEPENDENCE_WAVE_IW025_VOJVODINA_MODIFIER_MUNICIPAL_STABILITY = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW025_VOJVODINA_MODIFIER_MUNICIPAL_TRADE = 0.15
@CR_SC_INDEPENDENCE_WAVE_IW035_LIVONIA_MODIFIER_CONTESTED_FACTORY_OUTPUT = -0.08
@CR_SC_INDEPENDENCE_WAVE_IW035_LIVONIA_MODIFIER_CONTESTED_STABILITY = -0.08
@CR_SC_INDEPENDENCE_WAVE_IW035_LIVONIA_MODIFIER_CONTESTED_TRADE = -0.15
@CR_SC_INDEPENDENCE_WAVE_IW035_LIVONIA_MODIFIER_COORDINATED_FACTORY_OUTPUT = 0.04
@CR_SC_INDEPENDENCE_WAVE_IW035_LIVONIA_MODIFIER_COORDINATED_STABILITY = 0.02
@CR_SC_INDEPENDENCE_WAVE_IW035_LIVONIA_MODIFIER_COORDINATED_TRADE = 0.08
@CR_SC_INDEPENDENCE_WAVE_IW035_LIVONIA_MODIFIER_FEDERAL_DEFENCE = 0.08
@CR_SC_INDEPENDENCE_WAVE_IW035_LIVONIA_MODIFIER_FEDERAL_FACTORY_OUTPUT = 0.02
@CR_SC_INDEPENDENCE_WAVE_IW035_LIVONIA_MODIFIER_FEDERAL_STABILITY = 0.03
@CR_SC_INDEPENDENCE_WAVE_IW035_LIVONIA_MODIFIER_FEDERAL_SUPPLY = -0.06
@CR_SC_INDEPENDENCE_WAVE_IW035_LIVONIA_MODIFIER_MUNICIPAL_FACTORY_OUTPUT = 0.06
@CR_SC_INDEPENDENCE_WAVE_IW035_LIVONIA_MODIFIER_MUNICIPAL_STABILITY = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW035_LIVONIA_MODIFIER_MUNICIPAL_TRADE = 0.15
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_CONSTRUCTION_MEDIUM = 0.10
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_CONSUMER_BURDEN = 0.03
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_CONSUMER_RELIEF = -0.03
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_DEFENCE_MEDIUM = 0.10
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_DEFENCE_SMALL = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_DRIFT_DEFENCE = 0.10
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_MEDIUM_BONUS = 0.10
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_MEDIUM_PENALTY = -0.10
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_PLANNING_SMALL = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_PP_MEDIUM = 0.10
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_PP_PENALTY = -0.10
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_PP_SMALL = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_RECRUITABLE_MEDIUM = 0.02
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_SMALL_BONUS = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_SMALL_PENALTY = -0.05
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_SUPPLY_BURDEN = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_SUPPLY_RELIEF = -0.05
@CR_SC_INDEPENDENCE_WAVE_IW043_IDEA_TRADE_SMALL = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_CONSTRUCTION_MEDIUM = 0.10
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_CONSUMER_BURDEN = 0.03
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_CONSUMER_RELIEF = -0.03
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_DEFENCE_MEDIUM = 0.10
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_DEFENCE_SMALL = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_DRIFT_DEFENCE = 0.10
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_LARGE_BONUS = 0.15
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_MEDIUM_BONUS = 0.10
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_MEDIUM_PENALTY = -0.10
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_PP_MEDIUM = 0.10
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_PP_PENALTY = -0.10
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_PRODUCTION_SMALL = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_RECRUITABLE_MEDIUM = 0.02
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_SMALL_BONUS = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_SMALL_PENALTY = -0.05
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_SUPPLY_BURDEN = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_SUPPLY_RELIEF = -0.05
@CR_SC_INDEPENDENCE_WAVE_IW058_IDEA_TRADE_SMALL = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW093_IDEA_MODIFIER_COMPACT_CONSUMER_GOODS = -0.03
@CR_SC_INDEPENDENCE_WAVE_IW093_IDEA_MODIFIER_COMPACT_INFRASTRUCTURE_CONSTRUCTION = 0.10
@CR_SC_INDEPENDENCE_WAVE_IW093_IDEA_MODIFIER_COMPACT_STABILITY = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW093_IDEA_MODIFIER_UNSETTLED_CONSUMER_GOODS = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW093_IDEA_MODIFIER_UNSETTLED_INFRASTRUCTURE_CONSTRUCTION = -0.10
@CR_SC_INDEPENDENCE_WAVE_IW093_IDEA_MODIFIER_UNSETTLED_STABILITY = -0.05
@CR_SC_INDEPENDENCE_WAVE_IW098_IDEA_MODIFIER_COMPACT_INFRASTRUCTURE_CONSTRUCTION = 0.10
@CR_SC_INDEPENDENCE_WAVE_IW098_IDEA_MODIFIER_COMPACT_STABILITY = 0.05
@CR_SC_INDEPENDENCE_WAVE_IW098_IDEA_MODIFIER_COMPACT_SUPPLY_CONSUMPTION = -0.05
@CR_SC_INDEPENDENCE_WAVE_IW098_IDEA_MODIFIER_DISPUTED_CONSUMER_GOODS = 0.04
@CR_SC_INDEPENDENCE_WAVE_IW098_IDEA_MODIFIER_DISPUTED_STABILITY = -0.05
@CR_SC_INDEPENDENCE_WAVE_IW098_IDEA_MODIFIER_DISPUTED_SUPPLY_CONSUMPTION = 0.05
@kar_crisis_stability = -0.10
@kar_crisis_supply = 0.12
@kar_crisis_defense = -0.05
@kar_mature_stability = 0.10
@kar_mature_supply = -0.08
@kar_mature_defense = 0.10
@kar_constitutional_pp = 0.10
@kar_constitutional_stability = 0.05
@kar_socialist_factory = 0.10
@kar_socialist_construction = 0.08
@kar_socialist_consumer = -0.05
@kar_traditional_stability = 0.10
@kar_traditional_war_support = 0.10
@kar_emergency_defense = 0.12
@kar_emergency_org = 0.10
@cri_crisis_stability = -0.12
@cri_crisis_supply = 0.14
@cri_crisis_defense = -0.06
@cri_mature_stability = 0.10
@cri_mature_supply = -0.08
@cri_mature_defense = 0.10
@cri_constitutional_pp = 0.10
@cri_constitutional_stability = 0.05
@cri_socialist_factory = 0.10
@cri_socialist_construction = 0.08
@cri_socialist_consumer = -0.05
@cri_traditional_stability = 0.10
@cri_traditional_war_support = 0.08
@cri_emergency_defense = 0.10
@cri_emergency_org = 0.12
@kos_crisis_stability = -0.12
@kos_crisis_supply = 0.15
@kos_crisis_recruitable = -0.03
@kos_mature_stability = 0.10
@kos_mature_supply = -0.08
@kos_mature_defense = 0.08
@kos_civic_stability = 0.08
@kos_civic_research = 0.05
@kos_civic_construction = 0.06
@kos_socialist_factory = 0.10
@kos_socialist_construction = 0.10
@kos_socialist_consumer = -0.05
@kos_federal_stability = 0.08
@kos_federal_trade = 0.10
@kos_federal_supply = -0.06
@kos_emergency_defense = 0.12
@kos_emergency_org = 0.10
@kos_emergency_training = -0.10
@kub_crisis_stability = -0.14
@kub_crisis_supply = 0.16
@kub_crisis_recruitable = -0.03
@kub_mature_stability = 0.10
@kub_mature_supply = -0.08
@kub_mature_defense = 0.10
@kub_constitutional_stability = 0.07
@kub_constitutional_research = 0.06
@kub_constitutional_construction = 0.05
@kub_socialist_factory = 0.10
@kub_socialist_construction = 0.10
@kub_socialist_consumer = -0.05
@kub_agrarian_stability = 0.08
@kub_agrarian_recruitable = 0.05
@kub_agrarian_supply = -0.05
@kub_emergency_defense = 0.15
@kub_emergency_org = 0.10
@kub_emergency_training = -0.10
@mac_crisis_stability = -0.10
@mac_crisis_supply = 0.10
@mac_crisis_defense = -0.06
@mac_mature_stability = 0.08
@mac_mature_supply = -0.06
@mac_mature_defense = 0.10
@mac_constitutional_pp = 0.08
@mac_constitutional_stability = 0.05
@mac_constitutional_research = 0.03
@mac_popular_factory = 0.08
@mac_popular_construction = 0.06
@mac_popular_consumer = -0.04
@mac_traditional_stability = 0.09
@mac_traditional_war_support = 0.08
@mac_traditional_recruitable = 0.04
@mac_emergency_defense = 0.12
@mac_emergency_org = 0.08
@mac_emergency_training = -0.08
@mac_patron_trade = 0.10
@mac_patron_dependency = 0.08
@CR_SC_INDEPENDENCE_WAVE_MEDITERRANEAN_MODIFIER_DECISIVE = 0.15
@CR_SC_INDEPENDENCE_WAVE_MEDITERRANEAN_MODIFIER_DECISIVE_REDUCTION = -0.15
@CR_SC_INDEPENDENCE_WAVE_MEDITERRANEAN_MODIFIER_EXTREME = 0.20
@CR_SC_INDEPENDENCE_WAVE_MEDITERRANEAN_MODIFIER_MAJOR = 0.10
@CR_SC_INDEPENDENCE_WAVE_MEDITERRANEAN_MODIFIER_MAJOR_REDUCTION = -0.10
@CR_SC_INDEPENDENCE_WAVE_MEDITERRANEAN_MODIFIER_MINOR = 0.03
@CR_SC_INDEPENDENCE_WAVE_MEDITERRANEAN_MODIFIER_RECRUITABLE_POPULATION = 0.01
@CR_SC_INDEPENDENCE_WAVE_MEDITERRANEAN_MODIFIER_STANDARD = 0.05
@CR_SC_INDEPENDENCE_WAVE_MEDITERRANEAN_MODIFIER_STANDARD_REDUCTION = -0.05
@CR_SC_INDEPENDENCE_WAVE_MEDITERRANEAN_MODIFIER_STRONG = 0.08
@CR_SC_INDEPENDENCE_WAVE_MEDITERRANEAN_MODIFIER_STRONG_REDUCTION = -0.08
@mnt_crisis_stability = -0.10
@mnt_crisis_supply = 0.12
@mnt_crisis_defense = -0.05
@mnt_mature_stability = 0.10
@mnt_mature_supply = -0.08
@mnt_mature_defense = 0.10
@mnt_constitutional_pp = 0.10
@mnt_constitutional_stability = 0.05
@mnt_constitutional_research = 0.05
@mnt_socialist_factory = 0.10
@mnt_socialist_construction = 0.08
@mnt_socialist_consumer = -0.05
@mnt_traditional_stability = 0.10
@mnt_traditional_war_support = 0.10
