asset_id,asset_type,source_png,processed_png,final_dds,dimensions,alpha,dds_format,sprite_name,target_gfx,status
fm_dec_open_border,decision_icon,source/decisions/fm_dec_open_border.png,processed/decisions/fm_dec_open_border.png,gfx/interface/decisions/famine_and_migration_system/fm_dec_open_border.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_dec_open_border,interface/chaosx_decisions.gfx,complete
fm_dec_close_border,decision_icon,source/decisions/fm_dec_close_border.png,processed/decisions/fm_dec_close_border.png,gfx/interface/decisions/famine_and_migration_system/fm_dec_close_border.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_dec_close_border,interface/chaosx_decisions.gfx,complete
fm_dec_quarantine,decision_icon,source/decisions/fm_dec_quarantine.png,processed/decisions/fm_dec_quarantine.png,gfx/interface/decisions/famine_and_migration_system/fm_dec_quarantine.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_dec_quarantine,interface/chaosx_decisions.gfx,complete
fm_dec_distribute,decision_icon,source/decisions/fm_dec_distribute.png,processed/decisions/fm_dec_distribute.png,gfx/interface/decisions/famine_and_migration_system/fm_dec_distribute.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_dec_distribute,interface/chaosx_decisions.gfx,complete
fm_dec_integrate,decision_icon,source/decisions/fm_dec_integrate.png,processed/decisions/fm_dec_integrate.png,gfx/interface/decisions/famine_and_migration_system/fm_dec_integrate.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_dec_integrate,interface/chaosx_decisions.gfx,complete
fm_dec_return,decision_icon,source/decisions/fm_dec_return.png,processed/decisions/fm_dec_return.png,gfx/interface/decisions/famine_and_migration_system/fm_dec_return.dds,32x32,native alpha,BGRA8 uncompressed mip1,GFX_fm_dec_return,interface/chaosx_decisions.gfx,complete
famine_migration_break_the_blockade,achievement_completed,source/achievements/famine_migration_break_the_blockade.png,processed/achievements/famine_migration_break_the_blockade.png,gfx/achievements/famine_migration_break_the_blockade.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_break_the_blockade,interface/chaosx_achievements.gfx,complete
famine_migration_break_the_blockade_grey,achievement_grey,source/achievements/famine_migration_break_the_blockade.png,processed/achievements/famine_migration_break_the_blockade_grey.png,gfx/achievements/famine_migration_break_the_blockade_grey.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_break_the_blockade_grey,interface/chaosx_achievements.gfx,complete
famine_migration_break_the_blockade_not_eligible,achievement_not_eligible,source/achievements/famine_migration_break_the_blockade.png,processed/achievements/famine_migration_break_the_blockade_not_eligible.png,gfx/achievements/famine_migration_break_the_blockade_not_eligible.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_break_the_blockade_not_eligible,interface/chaosx_achievements.gfx,complete
famine_migration_no_one_left_at_the_gate,achievement_completed,source/achievements/famine_migration_no_one_left_at_the_gate.png,processed/achievements/famine_migration_no_one_left_at_the_gate.png,gfx/achievements/famine_migration_no_one_left_at_the_gate.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_no_one_left_at_the_gate,interface/chaosx_achievements.gfx,complete
famine_migration_no_one_left_at_the_gate_grey,achievement_grey,source/achievements/famine_migration_no_one_left_at_the_gate.png,processed/achievements/famine_migration_no_one_left_at_the_gate_grey.png,gfx/achievements/famine_migration_no_one_left_at_the_gate_grey.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_no_one_left_at_the_gate_grey,interface/chaosx_achievements.gfx,complete
famine_migration_no_one_left_at_the_gate_not_eligible,achievement_not_eligible,source/achievements/famine_migration_no_one_left_at_the_gate.png,processed/achievements/famine_migration_no_one_left_at_the_gate_not_eligible.png,gfx/achievements/famine_migration_no_one_left_at_the_gate_not_eligible.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_no_one_left_at_the_gate_not_eligible,interface/chaosx_achievements.gfx,complete
famine_migration_roads_home,achievement_completed,source/achievements/famine_migration_roads_home.png,processed/achievements/famine_migration_roads_home.png,gfx/achievements/famine_migration_roads_home.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_roads_home,interface/chaosx_achievements.gfx,complete
famine_migration_roads_home_grey,achievement_grey,source/achievements/famine_migration_roads_home.png,processed/achievements/famine_migration_roads_home_grey.png,gfx/achievements/famine_migration_roads_home_grey.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_roads_home_grey,interface/chaosx_achievements.gfx,complete
famine_migration_roads_home_not_eligible,achievement_not_eligible,source/achievements/famine_migration_roads_home.png,processed/achievements/famine_migration_roads_home_not_eligible.png,gfx/achievements/famine_migration_roads_home_not_eligible.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_roads_home_not_eligible,interface/chaosx_achievements.gfx,complete
famine_migration_bread_across_the_front,achievement_completed,source/achievements/famine_migration_bread_across_the_front.png,processed/achievements/famine_migration_bread_across_the_front.png,gfx/achievements/famine_migration_bread_across_the_front.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_bread_across_the_front,interface/chaosx_achievements.gfx,complete
famine_migration_bread_across_the_front_grey,achievement_grey,source/achievements/famine_migration_bread_across_the_front.png,processed/achievements/famine_migration_bread_across_the_front_grey.png,gfx/achievements/famine_migration_bread_across_the_front_grey.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_bread_across_the_front_grey,interface/chaosx_achievements.gfx,complete
famine_migration_bread_across_the_front_not_eligible,achievement_not_eligible,source/achievements/famine_migration_bread_across_the_front.png,processed/achievements/famine_migration_bread_across_the_front_not_eligible.png,gfx/achievements/famine_migration_bread_across_the_front_not_eligible.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_bread_across_the_front_not_eligible,interface/chaosx_achievements.gfx,complete
famine_migration_hungry_not_contagious,achievement_completed,source/achievements/famine_migration_hungry_not_contagious.png,processed/achievements/famine_migration_hungry_not_contagious.png,gfx/achievements/famine_migration_hungry_not_contagious.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_hungry_not_contagious,interface/chaosx_achievements.gfx,complete
famine_migration_hungry_not_contagious_grey,achievement_grey,source/achievements/famine_migration_hungry_not_contagious.png,processed/achievements/famine_migration_hungry_not_contagious_grey.png,gfx/achievements/famine_migration_hungry_not_contagious_grey.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_hungry_not_contagious_grey,interface/chaosx_achievements.gfx,complete
famine_migration_hungry_not_contagious_not_eligible,achievement_not_eligible,source/achievements/famine_migration_hungry_not_contagious.png,processed/achievements/famine_migration_hungry_not_contagious_not_eligible.png,gfx/achievements/famine_migration_hungry_not_contagious_not_eligible.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_hungry_not_contagious_not_eligible,interface/chaosx_achievements.gfx,complete
famine_migration_a_place_at_the_table,achievement_completed,source/achievements/famine_migration_a_place_at_the_table.png,processed/achievements/famine_migration_a_place_at_the_table.png,gfx/achievements/famine_migration_a_place_at_the_table.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_a_place_at_the_table,interface/chaosx_achievements.gfx,complete
famine_migration_a_place_at_the_table_grey,achievement_grey,source/achievements/famine_migration_a_place_at_the_table.png,processed/achievements/famine_migration_a_place_at_the_table_grey.png,gfx/achievements/famine_migration_a_place_at_the_table_grey.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_a_place_at_the_table_grey,interface/chaosx_achievements.gfx,complete
famine_migration_a_place_at_the_table_not_eligible,achievement_not_eligible,source/achievements/famine_migration_a_place_at_the_table.png,processed/achievements/famine_migration_a_place_at_the_table_not_eligible.png,gfx/achievements/famine_migration_a_place_at_the_table_not_eligible.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_a_place_at_the_table_not_eligible,interface/chaosx_achievements.gfx,complete
famine_migration_the_grain_stayed_home,achievement_completed,source/achievements/famine_migration_the_grain_stayed_home.png,processed/achievements/famine_migration_the_grain_stayed_home.png,gfx/achievements/famine_migration_the_grain_stayed_home.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_the_grain_stayed_home,interface/chaosx_achievements.gfx,complete
famine_migration_the_grain_stayed_home_grey,achievement_grey,source/achievements/famine_migration_the_grain_stayed_home.png,processed/achievements/famine_migration_the_grain_stayed_home_grey.png,gfx/achievements/famine_migration_the_grain_stayed_home_grey.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_the_grain_stayed_home_grey,interface/chaosx_achievements.gfx,complete
famine_migration_the_grain_stayed_home_not_eligible,achievement_not_eligible,source/achievements/famine_migration_the_grain_stayed_home.png,processed/achievements/famine_migration_the_grain_stayed_home_not_eligible.png,gfx/achievements/famine_migration_the_grain_stayed_home_not_eligible.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_the_grain_stayed_home_not_eligible,interface/chaosx_achievements.gfx,complete
famine_migration_the_country_did_not_empty,achievement_completed,source/achievements/famine_migration_the_country_did_not_empty.png,processed/achievements/famine_migration_the_country_did_not_empty.png,gfx/achievements/famine_migration_the_country_did_not_empty.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_the_country_did_not_empty,interface/chaosx_achievements.gfx,complete
famine_migration_the_country_did_not_empty_grey,achievement_grey,source/achievements/famine_migration_the_country_did_not_empty.png,processed/achievements/famine_migration_the_country_did_not_empty_grey.png,gfx/achievements/famine_migration_the_country_did_not_empty_grey.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_the_country_did_not_empty_grey,interface/chaosx_achievements.gfx,complete
famine_migration_the_country_did_not_empty_not_eligible,achievement_not_eligible,source/achievements/famine_migration_the_country_did_not_empty.png,processed/achievements/famine_migration_the_country_did_not_empty_not_eligible.png,gfx/achievements/famine_migration_the_country_did_not_empty_not_eligible.dds,64x64,native alpha,BGRA8 uncompressed mip1,GFX_achievement_famine_migration_the_country_did_not_empty_not_eligible,interface/chaosx_achievements.gfx,complete
