family	variant	asset_stem	source_mode	source_sheet	source_crop	processed_82x52	processed_41x26	processed_10x7	live_tga_82x52	live_tga_41x26	live_tga_10x7	format_contract	prompt_ledger	status
CBC	base	CBC	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBC_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBC_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBC.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBC.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBC.png	gfx/flags/CBC.tga	gfx/flags/medium/CBC.tga	gfx/flags/small/CBC.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBC	communism	CBC_communism	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBC_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBC_communism_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBC_communism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBC_communism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBC_communism.png	gfx/flags/CBC_communism.tga	gfx/flags/medium/CBC_communism.tga	gfx/flags/small/CBC_communism.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBC	democratic	CBC_democratic	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBC_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBC_democratic_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBC_democratic.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBC_democratic.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBC_democratic.png	gfx/flags/CBC_democratic.tga	gfx/flags/medium/CBC_democratic.tga	gfx/flags/small/CBC_democratic.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBC	fascism	CBC_fascism	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBC_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBC_fascism_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBC_fascism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBC_fascism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBC_fascism.png	gfx/flags/CBC_fascism.tga	gfx/flags/medium/CBC_fascism.tga	gfx/flags/small/CBC_fascism.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBC	neutrality	CBC_neutrality	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBC_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBC_neutrality_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBC_neutrality.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBC_neutrality.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBC_neutrality.png	gfx/flags/CBC_neutrality.tga	gfx/flags/medium/CBC_neutrality.tga	gfx/flags/small/CBC_neutrality.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBD	base	CBD	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBD_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBD_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBD.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBD.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBD.png	gfx/flags/CBD.tga	gfx/flags/medium/CBD.tga	gfx/flags/small/CBD.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBD	communism	CBD_communism	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBD_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBD_communism_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBD_communism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBD_communism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBD_communism.png	gfx/flags/CBD_communism.tga	gfx/flags/medium/CBD_communism.tga	gfx/flags/small/CBD_communism.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBD	democratic	CBD_democratic	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBD_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBD_democratic_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBD_democratic.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBD_democratic.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBD_democratic.png	gfx/flags/CBD_democratic.tga	gfx/flags/medium/CBD_democratic.tga	gfx/flags/small/CBD_democratic.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBD	fascism	CBD_fascism	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBD_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBD_fascism_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBD_fascism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBD_fascism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBD_fascism.png	gfx/flags/CBD_fascism.tga	gfx/flags/medium/CBD_fascism.tga	gfx/flags/small/CBD_fascism.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBD	neutrality	CBD_neutrality	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBD_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBD_neutrality_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBD_neutrality.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBD_neutrality.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBD_neutrality.png	gfx/flags/CBD_neutrality.tga	gfx/flags/medium/CBD_neutrality.tga	gfx/flags/small/CBD_neutrality.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBE	base	CBE	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBE_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBE_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBE.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBE.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBE.png	gfx/flags/CBE.tga	gfx/flags/medium/CBE.tga	gfx/flags/small/CBE.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBE	communism	CBE_communism	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBE_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBE_communism_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBE_communism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBE_communism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBE_communism.png	gfx/flags/CBE_communism.tga	gfx/flags/medium/CBE_communism.tga	gfx/flags/small/CBE_communism.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBE	democratic	CBE_democratic	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBE_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBE_democratic_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBE_democratic.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBE_democratic.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBE_democratic.png	gfx/flags/CBE_democratic.tga	gfx/flags/medium/CBE_democratic.tga	gfx/flags/small/CBE_democratic.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBE	fascism	CBE_fascism	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBE_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBE_fascism_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBE_fascism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBE_fascism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBE_fascism.png	gfx/flags/CBE_fascism.tga	gfx/flags/medium/CBE_fascism.tga	gfx/flags/small/CBE_fascism.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBE	neutrality	CBE_neutrality	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBE_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBE_neutrality_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBE_neutrality.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBE_neutrality.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBE_neutrality.png	gfx/flags/CBE_neutrality.tga	gfx/flags/medium/CBE_neutrality.tga	gfx/flags/small/CBE_neutrality.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBF	base	CBF	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBF_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBF_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBF.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBF.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBF.png	gfx/flags/CBF.tga	gfx/flags/medium/CBF.tga	gfx/flags/small/CBF.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBF	communism	CBF_communism	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBF_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBF_communism_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBF_communism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBF_communism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBF_communism.png	gfx/flags/CBF_communism.tga	gfx/flags/medium/CBF_communism.tga	gfx/flags/small/CBF_communism.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBF	democratic	CBF_democratic	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBF_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBF_democratic_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBF_democratic.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBF_democratic.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBF_democratic.png	gfx/flags/CBF_democratic.tga	gfx/flags/medium/CBF_democratic.tga	gfx/flags/small/CBF_democratic.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBF	fascism	CBF_fascism	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBF_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBF_fascism_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBF_fascism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBF_fascism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBF_fascism.png	gfx/flags/CBF_fascism.tga	gfx/flags/medium/CBF_fascism.tga	gfx/flags/small/CBF_fascism.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBF	neutrality	CBF_neutrality	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBF_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBF_neutrality_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBF_neutrality.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBF_neutrality.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBF_neutrality.png	gfx/flags/CBF_neutrality.tga	gfx/flags/medium/CBF_neutrality.tga	gfx/flags/small/CBF_neutrality.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBG	base	CBG	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBG_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBG_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBG.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBG.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBG.png	gfx/flags/CBG.tga	gfx/flags/medium/CBG.tga	gfx/flags/small/CBG.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBG	communism	CBG_communism	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBG_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBG_communism_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBG_communism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBG_communism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBG_communism.png	gfx/flags/CBG_communism.tga	gfx/flags/medium/CBG_communism.tga	gfx/flags/small/CBG_communism.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBG	democratic	CBG_democratic	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBG_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBG_democratic_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBG_democratic.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBG_democratic.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBG_democratic.png	gfx/flags/CBG_democratic.tga	gfx/flags/medium/CBG_democratic.tga	gfx/flags/small/CBG_democratic.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBG	fascism	CBG_fascism	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBG_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBG_fascism_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBG_fascism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBG_fascism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBG_fascism.png	gfx/flags/CBG_fascism.tga	gfx/flags/medium/CBG_fascism.tga	gfx/flags/small/CBG_fascism.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBG	neutrality	CBG_neutrality	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBG_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBG_neutrality_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBG_neutrality.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBG_neutrality.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBG_neutrality.png	gfx/flags/CBG_neutrality.tga	gfx/flags/medium/CBG_neutrality.tga	gfx/flags/small/CBG_neutrality.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBH	base	CBH	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBH_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBH_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBH.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBH.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBH.png	gfx/flags/CBH.tga	gfx/flags/medium/CBH.tga	gfx/flags/small/CBH.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
CBH	communism	CBH_communism	built-in image_gen fictional source-sheet crop	docs/assets/014_cannibalism/flags_imagegen/source_sheets/CBH_source_sheet.png	docs/assets/014_cannibalism/flags_imagegen/source_crops/CBH_communism_source_crop.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/82x52/CBH_communism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/41x26/CBH_communism.png	docs/assets/014_cannibalism/flags_imagegen/processed_png/10x7/CBH_communism.png	gfx/flags/CBH_communism.tga	gfx/flags/medium/CBH_communism.tga	gfx/flags/small/CBH_communism.tga	uncompressed 32-bit RGBA TGA; bottom-left origin; opaque alpha	docs/assets/014_cannibalism/flags_imagegen/prompts/imagegen_prompt_ledger.md	complete
