runtime_texture	ownership	dimensions	normalized_rgba_sha256	file_sha256	decode_status
decision_cannibalism_fortify_transformation_anchor.dds	existing_other	32x32	547ba831dfafb7066533dd4a44e71a1aa64f34056652a4b0355653d91c8821ae	3d572076ad4831cd80bab49879c98773dfc0de763ff9d855fb6540c978005bfb	decoded
decision_cannibalism_freeze_supply_corridor.dds	existing_other	32x32	460dc4c0b6fbc39480953aa0e2b3807ec03ff6f12372b91018915b06e74761d4	a5b60e0f9cd5096ef0ed57332d188789712ec5f1d0761982880a9ac2136a66e3	decoded
decision_cannibalism_hold_prison_mission.dds	existing_other	32x32	d8b5cf1100964715c4f173ab37d166262bf0a323d48f896a26f18a42e268e396	40fe8df344e2dbcfa1141bdf5d02832c8361d7e4a28c9aec05968fc4430db5cc	decoded
decision_cannibalism_humane_route_screening.dds	existing_other	32x32	d6b93d0a692cd146b3b215bb21583a0793ba4575f490345189862c50b9d9e91e	f721fef06e58b8bdd3ec28eada83a6f924d4d7f3306b0f619ce1db0d6a948b48	decoded
decision_cannibalism_identify_and_bury_victims.dds	existing_other	32x32	61146a2d188ab6965832acbabff8736a59139c0102c7ab97fe88d67b905c8f3b	04b9e2f2539adee5226f9599cba99ab642050cb5dc0da37f941ebcad2f877959	decoded
decision_cannibalism_identify_transformation_anchor.dds	existing_other	32x32	d643de4c40acae6964e9cfa2f66a9fb480cc113d2de5a66a4cac40752aa3718a	5d5feecf534aeb9df06a5048bacd764bcf907d1a106cf60a294772a65c5e5df1	decoded
decision_cannibalism_infiltrate_ritual_cell.dds	existing_other	32x32	9976549f8557d9171fc5a552f10c464bb34140c154108a477dadd49d06a78b3a	fec5c4635696250052257287b9baa895f0a01b16122c25cfb37487c085d6f4d4	decoded
decision_cannibalism_intensify_feeding_district.dds	existing_other	32x32	fc5fb778b64ac31a0ee61e34fb93b5e3b777d222b6632468548bdcc52b92dd35	2bf0c93ef5898c295c9a639231e43a1be91156c63adfa865341ac46b4239ed2a	decoded
decision_cannibalism_interdict_convergence_host.dds	existing_other	32x32	d6a5f1bf0d9619fa32843334bd14ad52a3b31af8831171dc7ecfa3c65cc3b95d	de1aa49810f4f18029a2aedfa65d0bf35635c8a17b366b491a2626eb2e4e60d8	decoded
decision_cannibalism_investigation_mission.dds	existing_other	32x32	418d167d4f915df7905247b9e43b345b567b150050fdb2731c773a97d5c13441	e0947204eebcdc00522013fafe6f92835a4521f76185c9cb108bebf67f24cbe9	decoded
decision_cannibalism_island_ambush_convoys.dds	existing_other	32x32	ae6be4c1e04a2a449a0e3a9e9109daff32f9b04f547e358e17eca2eaa71e08f3	cece8c39f38744fa82158678b55e23654f1304af2a78ff0ad958515d04d70448	decoded
decision_cannibalism_joint_suppression_operation.dds	existing_other	32x32	549c23c5cfc0296fdea2db41cd5f40df6a5389a0b79d196bf8a1633426b7c3aa	8a30ad1dcbfd0db40488806c8d6654faee9060fc1225a1e7e760f75734431110	decoded
decision_cannibalism_land_against_island_host.dds	existing_other	32x32	6b4b5124d07819427d3d1b6b2fade730f7c1a8f3de182b1a4372bbcda2d37a2a	fb5fe2ae5cb10e1c6c9a1f03d2d2aaee8ce489381096ea3a2b57ba9d49fc3700	decoded
decision_cannibalism_liberate_feeding_state.dds	existing_other	32x32	427098d6150a0c31e33eb4df41901fd008125e6101855cd1ab6d3210e3cf21d0	c70b9baf9c000678377c605320e7821e7afd816b3c1909b4b9baca09ff165560	decoded
decision_cannibalism_maintain_inspection_compact.dds	existing_other	32x32	0add5d5472a7150f3d702a7bb9b2e15f757be5a4bfe9f30a6e51746648dd0fda	71faf7419f151ea9520aefb6c6a23c9bca3ce9f736429f659e49eda9c84f7ca2	decoded
decision_cannibalism_march_raid_supply_depot.dds	existing_other	32x32	f56811ac2ad514a6b3dc8ce6a38c7d4d5c7709c6472a6e989d8202eb3fc61636	b9f0a342fe7efeb1cab374999320f0bb1e9f74e895856c97da872c585a134c63	decoded
decision_cannibalism_muster_wendigo_pack_from_enemy_death_receipt.dds	existing_other	32x32	d2b7498fb9694d96ecc376f06ef03898537ab081f186cdb87d33446e3d742a15	0a06faa3156a9eb66ec0a6bda0c4fbd03a7184e2b8519104f7b761ad3a49ac62	decoded
decision_cannibalism_prepare_network_resistance.dds	existing_other	32x32	c3c944c65f03abd226c9661656090e42c145792661d20cfbf6cae225e52ca12c	233276b7e01b5e70a7abcfcded2655dad203b5c8cf008f45c470ea4de0174200	decoded
decision_cannibalism_prepare_network_submission.dds	existing_other	32x32	d906286b4cf6c69fa2074ede15ce1e3fd741b49b0f1a759e743e5a7facb51332	9efee16490e4f5698f5f60bb33d493a773387015a3dc73568cfdb08b50f23cf3	decoded
decision_cannibalism_protect_burial_details.dds	existing_other	32x32	a8cf31948c7db969421b44057a6c911e550a1025d48ea34149b1f4d4153f0c1b	5910676a43bb83febc1f3daedf448f287d880c2baec8a5bf723adcf4d2ea6c7a	decoded
decision_cannibalism_public_court_martial.dds	existing_other	32x32	b70db01919c466ccdfb19af178883c2a5d5d86b1eaa7782b7e2d8d84c11a15d5	dd480ea0118d433bcc479c7ea2d95b73c442629f3e37c83a50d2fd0ff82113b6	decoded
decision_cannibalism_raise_bone_guard.dds	existing_other	32x32	b638860ab0c8b359de7a04c1ead70dd8412a9a1a1448b33ff71b99f72e6bf6b6	184d523035b7b2f533ded4351a55667a8cb7680073ed92c661de6fea1eb7d110	decoded
decision_cannibalism_raise_feast_cohort.dds	existing_other	32x32	020453aadece60c3da727c72e6e49476ce6ba0245254a9ff1aff3f630afedafd	48bc0863fb89cc699048433e3184c31d4b3d2c71298927056221427948eda7e4	decoded
decision_cannibalism_raise_network_cadre.dds	existing_other	32x32	873d061681792568a9fff36b15e38a60176dfc0c67cf93ba200b4e3ca3b37ac1	f671bb657c161b8773b890cb49b8aed8c496b12c99c8f8a72938d949890e68a4	decoded
decision_cannibalism_raise_origin_specialist.dds	existing_other	32x32	042f278fd18776910f0a2a7fb84ff469ce4b56e1c5bdca2deff0ee6c610ac8ba	93b8baa9b2de31d2739f677c11659e15d5133979b036520ad327bc1a924d13ec	decoded
decision_cannibalism_raise_scavenger_warband.dds	existing_other	32x32	09d25b42fe9a82a77e310f24fb70a432ac8b92f4bdb1561a3aa5ee91eafadcdb	037c80d1d0425f71b02fa64c268c1764a72f3d8a80e90970b83f6320fde92e50	decoded
decision_cannibalism_ratify_inspection_compact.dds	existing_other	32x32	339c0e174d7c8c52c2accfa1cfbbd85b58dd603f7620042bb0f2458d58d30294	c878abfecdd39e9f08394c2fb0f4a153ad66caa4d24ac9288d320bd40eb9c61c	decoded
decision_cannibalism_ration_audit.dds	existing_other	32x32	5336f0fb6dae2acf47d7b2bf9dc84e7d4ff03acd75757347af2aac761c80c8de	57c008f7ecc12ab82d0681a15b14689f9c6f4669e88f2f0d66620856cc529115	decoded
decision_cannibalism_reach_island_mission.dds	existing_other	32x32	0ffed14d5f49a1d0539075c92bf5d428d406816780f38342463aaf5f064a0572	459912dec7c0620f5a8ddcfb731bc065d3e6da32908cbad77d2ed8754ea8b4bf	decoded
decision_cannibalism_rebuild_feeding_state_institutions.dds	existing_other	32x32	d1fd46a9538e43fb223fb71976e52b57a7bda9dda721b5188c7cdc25c1d75bae	a30ba2d3d8fdbacd8a3aa1df3c8315d68050c0cd22768748deb0a4976f62c01f	decoded
decision_cannibalism_reconnoiter_silent_island.dds	existing_other	32x32	a90f9843668d4c27e6ca25616c258bfcf38fbf3bc8c712b270b8aaa1e25995bb	fc255ec2371aab38d27d60246adecc19b5be787dab62b713837a038ea40f86ed	decoded
decision_cannibalism_replace_compromised_officer_chain.dds	existing_other	32x32	0f8996b4bbafab668378d3b07c05c0001f881acae4d7f1acdcbc1ae2c1a6a487	d6739e0d8661a567b2c5bcd546dcc9fa7b4b4f9f5941bca4eb50d335eb7d23af	decoded
decision_cannibalism_rescue_island_survivors.dds	existing_other	32x32	81ff9a5d9cbe100489c2a0fd8a951a5f081dd55d5e57d04f561ebe46b20b5cf5	dabe5d0b80429abd16d7c687f375e7e10dd02b24c2594871d4ac47d7e02160eb	decoded
decision_cannibalism_restore_supply_corridor.dds	existing_other	32x32	6c9bb9bcfc6dcfa2d43d10f3644840a6f92c1fa6e34af2a7addb6b6e7406533a	d328179a9ad00d00778af507c14b078738df1a56565af7d7d66697e8a7737d09	decoded
decision_cannibalism_rotate_formations.dds	existing_other	32x32	ec317033a80f817f7a9702f12a9ca02d965e756f6cdcf89145a33100fcc85a8a	aa59f738be14b9bc98c8cf7777a9c7c48e79ecb20966546179e9be7eb62fb9f6	decoded
decision_cannibalism_rotation_mission.dds	existing_other	32x32	66bbf72ac9107eb705743e5fa767dcda062288990c5a1c13c42b2c0ce68f0e08	29623b17944f208dfb6de22f566bdf475f5fe9f8e1eb0d4c85db85b257558d78	decoded
decision_cannibalism_seal_inbound_route.dds	existing_other	32x32	4ce923ccbe6b6dfad3f9ed8e1048cce9902acdebc9b54cfe3b5ed4b1abcf8506	577037a62e7a2ea8b8a75d22a95574618fd76503c46bfc14eb6c6babe1d22d73	decoded
decision_cannibalism_seal_transfer_records.dds	existing_other	32x32	0df116fde6744c87ec4862e35e2d0629daf392d90100830f97c91a2c153cee24	ab680353538c67f7c047e8ab02c5dbfb96e84b53621820666173869ac3e7346f	decoded
decision_cannibalism_search_burial_party.dds	existing_other	32x32	b065045a1cc7f5782503c80a24a41e282ecb096799f9020a01e00cd60a903c87	72687bd90db2b08efea99feb5fd0528515b9a2f541b5d1ea1b4b9bb0aa81de23	decoded
decision_cannibalism_seed_foreign_formation.dds	existing_other	32x32	a48107f0bc8fd67c9d10e0da64415a77cc4cf56aa40ed7634e219d153d47cb08	30b045cb54b13214fcd998242c70d08a175178558d2bb4fc352999974dfbbe03	decoded
decision_cannibalism_siege_ambush_relief_column.dds	existing_other	32x32	d28c014b9daf57e0cac98736b24e4015c5ef1199f321808427750d46b7dd5e24	4a6696bed92c5e433b4fb2bd1f9ba4dd69a609f44683915d6b77785929d48d41	decoded
decision_cannibalism_stabilize_transformation_countdown.dds	existing_other	32x32	0141bc66028a14585e1823bf8af1799291041c1074ebee1af438c823bee1cadc	835480c671bd4d242580f43a77be92b3a087eb5f282d3fa8e1a0b4bada27f942	decoded
decision_cannibalism_stop_transformation_mission.dds	existing_other	32x32	c2f1f05cb64a0ce3eaeca2a6e3c89606c07f71d1e0de3d12c7e2928997d6f127	24a680fe4a18cbcaf2e3e59244d14eb650e6c48820600fe1e246c106a286bf29	decoded
decision_cannibalism_stop_unification_mission.dds	existing_other	32x32	9f19a21ef8dec4e54602c2676817af2fb6ae613a41c7453cff4d1d5aa7aadd95	7f4babeb9bb0cb7c999f406ddcb669df21cf36896e210903fcd9de30074d715e	decoded
decision_cannibalism_supply_corridor_mission.dds	existing_other	32x32	b9f57ec055df28b7ab89a5ab65c9310675e8c630dec8f4722faf2d6d29de23a1	c6611f63dfc5e1b2700a95440bd1c9188884cab3b58c335dad06345564fd72fe	decoded
decision_cannibalism_synchronize_warlord_attack.dds	existing_other	32x32	f7cf29154a07ff7777b8cfe2364664e4c0bf36124f1e474dd6622fd038853d96	a4816421f8d7d55af4fb14abbfa01224d677f1bef31dc7a19fc4ccb7178ccc67	decoded
decision_cannibalism_terror_battalion.dds	existing_other	32x32	41e5b98ec0bb8b782a4c4a522381aea027adc456f43db51ba6efaed495029387	69530dc2d5b5709e100753d8f269467b80db8c1f5f9dcb777137eaae8078e85f	decoded
decision_cannibalism_train_additional_wendigo_packs.dds	existing_other	32x32	de097b4d387dc0f9d00fd93277ab839a6f1279576ee8f45e517ebc7fe38df8f8	40dc7c1b1fe88bb774914d03a44c49d30822a471af925649cf94f2272acbb10a	decoded
decision_cannibalism_unified_abandon_exhausted_frontier.dds	existing_other	32x32	244ad04999e86b8e24e4cfe8bee5e293b9f719364deb6e6b3517b886422f563d	b4b5011ac5498d8cdfa51f900ece400590ede43c320d2c6598397a5f724c7555	decoded
decision_cannibalism_unified_absorb_warlord.dds	existing_other	32x32	daaeee45e33542075182ba4cd1e4d6a3ca647b73003a417e54e01d6f9cf7c831	f2db315e9ef668d66430326fdd2ffef9aa0fe6d2cb03678059a0921d08b188f8	decoded
decision_cannibalism_unified_appoint_governor.dds	existing_other	32x32	1b0b8dd36bc3c37d6bd7f34aa0771efdc1a9e2b69d87780471618a30d8b76e07	5e513c7da06b8d67d66de2ab164c27d3b6ef23528d23bca6619099c6b2426536	decoded
decision_cannibalism_unified_battlefield_consumption.dds	owned_rows_10_24	32x32	0d945d5acc26ee9f9d261ef8a4fcbd9b9e792bddb99d39bcc4511907eedca7dd	2b987149bb92eaafcf28891e8ff069f45369a8e87960f0047fa9f1fe238dcc52	decoded
decision_cannibalism_unified_begin_terminal_mobilization.dds	existing_other	32x32	0c7b43791f5403c66e4b0823ea5533fe625670a286b76416af9e0797387297f8	3ec867ca5f78790867cff0cfc069ada4572e5d1ab6c6cca69f9b93da202bff6c	decoded
decision_cannibalism_unified_build_silent_anchorage.dds	existing_other	32x32	f98f181be3b0ca3594bcb930b405c084ec62d71c65d34651091cd3ddd24d4e6d	754b3dd7ef285aeeff00cf9c63d16391ca2869e16dd15507d541eaa96f765be8	decoded
decision_cannibalism_unified_centralize_larder.dds	existing_other	32x32	15af7531c07388a2c959d0c680e48a6452c354a013cd16521823f80d78a6f52e	fd8b8943477758dbf14c06d20fec234319d9a334cbbe62d4951726d767bed93c	decoded
decision_cannibalism_unified_collapse_enemy_front.dds	owned_rows_10_24	32x32	8d0bd6f8207819c9dc73bd4962d0f1889a3049579ae3b2922426780f046ff73e	6198ceae0f574e8b217d93b825c2078011908d2175fcd2dea8add613c31e5784	decoded
decision_cannibalism_unified_command_mission.dds	existing_other	32x32	6230c6ab4cc12a1de053f5c58a7c4d57bfd90432ac3e18cc40f995b8e254bed7	b8d7c6e67b44000aa5972b3fc1203aff5a381947dade61b2712f202fece53c5f	decoded
decision_cannibalism_unified_convert_captured_workshop.dds	existing_other	32x32	517737fdb48572812803a65a54a273471f8ae2e80354d277d70cdc0eb326fb18	434607adf790c1123f4b77b6ba631d9adbdbb2b25524e0c938869989f44bd2af	decoded
decision_cannibalism_unified_convert_counterwar_pressure.dds	existing_other	32x32	225d66143bd017f6954c9c2a09ddabaa04200171935f27d883b53c89907932be	3ddc790147bcb09fd01a2aee52e9f122436e4a0532073537e1e10e39b2441fe6	decoded
decision_cannibalism_unified_counterwar_mission.dds	existing_other	32x32	5a97cc7da313978b5e772ac2f79cfa8342394b922bdc1e4f1c1d542e1081b491	93b987f65ef5303ce7b3fa1b5e64a8dc6d62338748cc72f7a748fabedc8b68ac	decoded
decision_cannibalism_unified_create_cannibal_legion.dds	owned_rows_10_24	32x32	454808526a2f41712a0b9c9e965e56c9c0ff67c869b27a1dc33943d4a0e9d71a	3e7b8cdb51e7ed611f8ac3cbf255443d0fd619f87c39acd28921240c4a31561e	decoded
decision_cannibalism_unified_designate_feeding_capital.dds	existing_other	32x32	c6d4d8853a79f20a994965a9616189c6da9aa21ecc5980c6ef3b295b4bdc5d9c	41333807f8e637c6341bda17439196038935410d30aab744e4e91c254c98ca30	decoded
decision_cannibalism_unified_destroy_coalition_hub.dds	existing_other	32x32	857f6fde9bf55715b3c2e6c544106b65f93505c9bf31ae87c806522a3e91c697	96abe1628eeac807f3c4130aac4631b463da46271e41b5849163322580a68319	decoded
decision_cannibalism_unified_establish_air_program_foundation.dds	owned_rows_10_24	32x32	d8154d888db08d7f9af63d353cc079ab0fcb411c0c0a1054f34d5cdcd35beffd	d580f7e7187b57028d82ae58e53f5abddf7c99d9b652892083c5bb25eefde3c1	decoded
decision_cannibalism_unified_integrate_postwar_state.dds	existing_other	32x32	366a8ff81888ba0bc67e805fe379487e72dde600f303a081b1275c2409e2f8d1	faa03a85bc942ced97ac4f1d36017ec9a05c0eac4fb22616f3dcff1d5e04eca1	decoded
decision_cannibalism_unified_issue_continental_command.dds	existing_other	32x32	644652659d72d60ec425592662dc3823480a4a25a37bb2727a1b8c57c11e9372	191b849a4baab714dadbc52e040ff7749b9771a7cbe7e1a3a401f7317f9cc026	decoded
decision_cannibalism_unified_issue_terror_ultimatum.dds	existing_other	32x32	bdd6b852c337bb861e66b482cb28de14339d0585b679374aad9bbe610a8e253e	fc27ae7e969322a55f0b3daad9b27c12204317548d702c963dbca3b5def1b77f	decoded
decision_cannibalism_unified_larder_mission.dds	owned_rows_10_24	32x32	838488e8522bb60da65864a05fe2c2bac71034e8b2faf8df93602b8debe38419	a601d44ed755ad9a3e5b5e120b1a88162e9406877655555e2c4788f9a70a86ad	decoded
decision_cannibalism_unified_launch_air_interdiction.dds	existing_other	32x32	00477f64089ca5e8f8607395d9e82e02e2f89e56f36aa9bba769ae09fde8718f	816baedbaab77b46bb17ba4a2e9eda4b9482d3aeed5e5d640d8f6d15c4d20334	decoded
decision_cannibalism_unified_launch_continental_hunt.dds	owned_rows_10_24	32x32	85480486543a776497c9c0d690db2c7e3fb11f9a6f761063afc7db144e2c4915	5ae1d436486f379c7acebe888ca9a21df2e72ae1638785fcbe1ab4d1c2a5a4ba	decoded
decision_cannibalism_unified_launch_naval_hunt.dds	existing_other	32x32	67977a3e647b5c7e1d2c5bd18a3297d93cc1ed08c9e7de070693cf56b65469c6	5aaeabc84d25c29bd2eed0f0a69e5c11d4e570325a575c4af818761eefa098cb	decoded
decision_cannibalism_unified_managed_consumption.dds	owned_rows_10_24	32x32	a73ae1e1976d884b6b851061283eb9293d7cb266ccbeaf205f6a3e5aafd33faf	c5a760736d7670101eb4640534cfb42aaff484c9d30d96413a1fe48439ce445d	decoded
decision_cannibalism_unified_mobile_consumption.dds	owned_rows_10_24	32x32	ff8e8453ca4863ad754375b5fc1598d0759f73dd93b9434f5b39f6b3d021ef64	d58e6e53be4b886da65a5fd8a2cecb74ac991211b30c9e4166c0537529da9400	decoded
decision_cannibalism_unified_prepare_global_campaign.dds	existing_other	32x32	e2fa63bb31a91b76c627ac3d4e62717752f24ae3342f7f85381304ad6d49ebe4	0ce510850d43c26ca07976f76b144e671a70c5208f683ee6a811ed306b8d72e0	decoded
decision_cannibalism_unified_process_convoy_harvest.dds	existing_other	32x32	b02a2104afc90cd9709040bcbb1cb9a727c54d42325b50a0b90a46c5d0f9c6d4	2c5ac527f57eee217514a7b82efa64f9b36b1496564d765a0a9b049bbb6a5e45	decoded
decision_cannibalism_unified_provoke_border_incident.dds	existing_other	32x32	ca501cb3d655efec753313b9294bb0d9cbb897781a5540576c2add931fada822	716f3a2b4c290dfaa9693a708e10ad8599bbcb2f649bf77990f2aee9cd986667	decoded
decision_cannibalism_unified_purge_rival.dds	existing_other	32x32	60a53307f2837b3553d214382a8f919239753371d68a759ff54860c80545d5e9	b2f8e8e2fe60742900837f7c086d4ee4a2810d51a343b3b34c211d6c3476df27	decoded
decision_cannibalism_unified_raise_bone_guard.dds	owned_rows_10_24	32x32	2c75d1d4b50a697fc872c9c89f245ac281b45ffbb4d8edf59e411b6102d19beb	41633c7e1d4d3e194591314be62849d3968a7b573da4431f65ae61d054ff6302	decoded
decision_cannibalism_unified_rapid_consumption.dds	owned_rows_10_24	32x32	6a8a609088b4e5ca33eb854db94c44b8f89c1da3755f63cf1270992c7fc9ddaf	231964c07fc2b2e7d11e888b6b3a57e085336747ad2abc97e0faf8fa5e676213	decoded
decision_cannibalism_unified_recruit_island_reavers.dds	owned_rows_10_24	32x32	04b48cd1304592b7d039fd09450b9ff0c9762d1da66e5646a30bb48f043a08d9	236e060b735c3709fd8ec82e6df7840fab09f010787ab89f09a46c6404acd94c	decoded
