asset_key,asset_type,family,intended_in_game_use,source_mode,target_size,required_variants,visual_direction,avoid,suggested_filename,suggested_sprite_name,final_game_folder,reference_folder,animation_brief,status
africa_is_one_super,super-event image,Super events,Africa is one presentation candidate,generated symbolic alternate-history scene,457x328,one final image if super-event approved,"strong central African political subject, crowds and infrastructure, dignified unity, no single ethnic stereotype","flat map, generic apocalypse, readable text",super_event_012_africa_is_one.dds,GFX_super_event_012_africa_is_one,gfx/super_events/012_africa/,assets/vanilla_reference/event_art/super_event,static,installed_dormant
scramble_super,super-event image,Super events,Scramble response presentation candidate,generated alternate-history scene,457x328,one final image if super-event approved,"unified African defence facing a ring of outside fleets, embargoes, or expeditionary forces, central human stakes","old colonial scramble caricature, map arrows",super_event_012_africa_scramble_response.dds,GFX_super_event_012_africa_scramble_response,gfx/super_events/012_africa/,assets/vanilla_reference/event_art/super_event,static,installed_dormant
continental_wars_super,super-event image,Super events,continental wars presentation,generated high-scale alternate-history scene,457x328,one image,"two continent-scale powers confronting through armies, fleets, transport, and symbolic emblems, readable at UI size","science-fiction technology, abstract globe diagram",super_event_012_africa_continental_wars.dds,GFX_super_event_012_africa_continental_wars,gfx/super_events/012_africa/,assets/vanilla_reference/event_art/super_event,static,installed_dormant
the_world_super,super-event image,Super events,The World terminal presentation,generated terminal symbolic scene,457x328,one image,"single final world-scale political identity with visible human and continental continuity, solemn finality","generic planet explosion, empty globe, text logo",super_event_012_africa_the_world.dds,GFX_super_event_012_africa_the_world,gfx/super_events/012_africa/,assets/vanilla_reference/event_art/super_event,static,installed_dormant
charter_window_background,scripted GUI panel,Charter GUI,main mechanic window background,generated UI art,"project-specific GUI size, inspect existing surface",normal and dim variants,"period document, carved or painted regional motifs, subtle continental structure, room for text and cards","readable generated text, dominant map, high visual noise",charter_window_background.dds,GFX_012_africa_charter_window_background,gfx/interface/012_africa/,closest scripted GUI and decisions references,static,installed_runtime
charter_header_plate,scripted GUI header,Charter GUI,continental status header,generated UI art,project-specific,normal and crisis variants,strong Charter seal area with clean value slots,ornamental clutter,charter_header_plate.dds,GFX_012_africa_charter_header_plate,gfx/interface/012_africa/,closest scripted GUI and decisions references,static,installed_runtime
member_card_frame,scripted GUI frame,Charter GUI,selected member card,generated UI art,project-specific,"normal, selected, resistant, leaving, rival variants","country-card frame with space for flag, values, clauses, and projects",colour-only state distinction,member_card_frame.dds,GFX_012_africa_member_card_frame,gfx/interface/012_africa/,closest scripted GUI and decisions references,static,installed_runtime
regional_card_frame,scripted GUI frame,Charter GUI,regional congress view,generated UI art,project-specific,"normal, ready, disputed, complete variants",regional panel with corridor and congress slots,tiny map details,regional_card_frame.dds,GFX_012_africa_regional_card_frame,gfx/interface/012_africa/,closest scripted GUI and decisions references,static,installed_runtime
relationship_badges,UI icon family,Charter GUI,relationship state badges,generated icon art,32x32 or verified GUI size,"outside, protected, associate, chartered, federal, integrated, resistant, leaving, rival",simple distinct silhouette for each state,"text abbreviations, recolour-only variants",relationship_badges.dds,GFX_012_africa_relationship_badges,gfx/interface/012_africa/,closest scripted GUI and decisions references,static,installed_runtime
primary_value_icons,UI icon family,Charter GUI,four primary values,generated icon art,32x32 or verified GUI size,"authority, reach, burden, colonial pressure","charter seal, corridor, load-bearing structure, enclosing foreign ring",generic stars or arrows,primary_value_icons.dds,GFX_012_africa_primary_value_icons,gfx/interface/012_africa/,closest scripted GUI and decisions references,static,installed_runtime
secondary_value_icons,UI icon family,Charter GUI,secondary values,generated icon art,32x32 or verified GUI size,"confidence, readiness, diaspora trust, ecological wrath","trust seal, reserve standard, travel and family mark, living nature mark",ambiguous repeated icons,secondary_value_icons.dds,GFX_012_africa_secondary_value_icons,gfx/interface/012_africa/,closest scripted GUI and decisions references,static,installed_runtime
clause_tabs,scripted GUI button family,Charter GUI,member clause tabs and filters,generated UI art,verified button size,"normal, hover, selected, locked, warning","small tab motifs for defence, autonomy, finance, law, culture, resource, exit",readable text inside art,clause_tabs.dds,GFX_012_africa_clause_tabs,gfx/interface/012_africa/,closest scripted GUI and decisions references,static,installed_runtime
regional_overlay_buttons,scripted GUI button family,Charter GUI,nine region selectors,generated UI art,verified button size,"normal, hover, selected, complete, warning","nine region-specific motifs based on transport, architecture, and landscape",nine near-identical continent mini-maps,regional_overlay_buttons.dds,GFX_012_africa_regional_overlay_buttons,gfx/interface/012_africa/,closest scripted GUI and decisions references,static,installed_runtime
project_progress_frame,scripted GUI meter,Charter GUI,active project progress,generated UI art,verified meter size,"inactive, active, delayed, failed, complete","rail, river, road, port, industry, and relief project frames",animation substituting for readable state,project_progress_frame.dds,GFX_012_africa_project_progress_frame,gfx/interface/012_africa/,closest scripted GUI and decisions references,static,installed_runtime
rival_bloc_panel,scripted GUI panel,Charter GUI,rival bloc warning and negotiation panel,generated UI art,project-specific,"hidden, active, negotiated, war variants",split seals and competing delegation space,villain caricature,rival_bloc_panel.dds,GFX_012_africa_rival_bloc_panel,gfx/interface/012_africa/,closest scripted GUI and decisions references,static,installed_runtime
diaspora_summary_panel,scripted GUI panel,Charter GUI,diaspora routes and trust summary,generated UI art,project-specific,"normal, high trust, strained, emergency variants","ship, train, passport, tools, family and institution motifs",forced-migration imagery as default,diaspora_summary_panel.dds,GFX_012_africa_diaspora_summary_panel,gfx/interface/012_africa/,closest scripted GUI and decisions references,static,installed_runtime
charter_seal_activation,animated scripted GUI sprite,Animations,Charter seal becomes active,generated separate source frames,96x96,"static fallback, source frames, processed frames, horizontal sheet, DDS, preview GIF","source-frame sequence of seal opening or assembling, restrained glow drawn in each frame","transform-only animation, recolour-only frames, generated text",charter_seal_activation_sheet.dds,GFX_012_africa_charter_seal_activation_animated,gfx/interface/012_africa/animations/,frame animation skill and closest GUI references,"8 frames at 8 fps, looping, trigger: inactive to active Charter state, play_on_show according to state entry",installed_runtime
charter_authority_ring,animated scripted GUI sprite,Animations,Authority threshold movement,generated separate source frames,128x128,"static fallback, source frames, processed frames, horizontal sheet, DDS, preview GIF","ring of delegates or symbols progressively active, each frame separately authored","transform-only animation, recolour-only frames, generated text",charter_authority_ring_sheet.dds,GFX_012_africa_charter_authority_ring_animated,gfx/interface/012_africa/animations/,frame animation skill and closest GUI references,"10 frames at 6 fps, looping, trigger: authority above important threshold, play_on_show according to state entry",installed_runtime
colonial_pressure_border,animated scripted GUI sprite,Animations,Colonial Pressure critical warning,generated separate source frames,project-specific border,"static fallback, source frames, processed frames, horizontal sheet, DDS, preview GIF",warning border with separately drawn tightening blockade and searchlight states,"transform-only animation, recolour-only frames, generated text",colonial_pressure_border_sheet.dds,GFX_012_africa_colonial_pressure_border_animated,gfx/interface/012_africa/animations/,frame animation skill and closest GUI references,"8 frames at 6 fps, looping, trigger: pressure in critical band, play_on_show according to state entry",deferred_controlled_pool
selected_member_confidence,animated scripted GUI sprite,Animations,Selected member confidence change,generated separate source frames,64x64,"static fallback, source frames, processed frames, horizontal sheet, DDS, preview GIF",member seal breathing through distinct authored states without simple scale pulse,"transform-only animation, recolour-only frames, generated text",selected_member_confidence_sheet.dds,GFX_012_africa_selected_member_confidence_animated,gfx/interface/012_africa/animations/,frame animation skill and closest GUI references,"8 frames at 8 fps, looping, trigger: selected member high or collapsing confidence, play_on_show according to state entry",deferred_controlled_pool
congress_ready_emblem,animated scripted GUI sprite,Animations,Regional congress ready,generated separate source frames,72x72,"static fallback, source frames, processed frames, horizontal sheet, DDS, preview GIF",delegation doors or seats filling through real frame states,"transform-only animation, recolour-only frames, generated text",congress_ready_emblem_sheet.dds,GFX_012_africa_congress_ready_emblem_animated,gfx/interface/012_africa/animations/,frame animation skill and closest GUI references,"8 frames at 6 fps, looping, trigger: all congress prerequisites met, play_on_show according to state entry",deferred_controlled_pool
member_departure_warning,animated scripted GUI sprite,Animations,Member departure imminent,generated separate source frames,72x72,"static fallback, source frames, processed frames, horizontal sheet, DDS, preview GIF",seal separating through separately drawn fracture states,"transform-only animation, recolour-only frames, generated text",member_departure_warning_sheet.dds,GFX_012_africa_member_departure_warning_animated,gfx/interface/012_africa/animations/,frame animation skill and closest GUI references,"10 frames at 8 fps, looping, trigger: leaving timer active, play_on_show according to state entry",deferred_controlled_pool
rival_bloc_alert,animated scripted GUI sprite,Animations,Rival bloc active,generated separate source frames,72x72,"static fallback, source frames, processed frames, horizontal sheet, DDS, preview GIF",two competing emblems taking position through real source frames,"transform-only animation, recolour-only frames, generated text",rival_bloc_alert_sheet.dds,GFX_012_africa_rival_bloc_alert_animated,gfx/interface/012_africa/animations/,frame animation skill and closest GUI references,"8 frames at 6 fps, looping, trigger: rival bloc pressure active, play_on_show according to state entry",deferred_controlled_pool
africa_is_one_completion,animated scripted GUI sprite,Animations,Africa is one completion seal,generated separate source frames,128x128,"static fallback, source frames, processed frames, horizontal sheet, DDS, preview GIF","regional motifs assemble into one seal, each frame authored","transform-only animation, recolour-only frames, generated text",africa_is_one_completion_sheet.dds,GFX_012_africa_africa_is_one_completion_animated,gfx/interface/012_africa/animations/,frame animation skill and closest GUI references,"12 frames at 8 fps, non-looping with static final, trigger: unification completion, play_on_show according to state entry",deferred_controlled_pool
ecological_wrath_active,animated scripted GUI sprite,Animations,Ecological Wrath active,generated separate source frames,96x96,"static fallback, source frames, processed frames, horizontal sheet, DDS, preview GIF","forest, river, weather, or animal motifs move through actual illustrated states","transform-only animation, recolour-only frames, generated text",ecological_wrath_active_sheet.dds,GFX_012_africa_ecological_wrath_active_animated,gfx/interface/012_africa/animations/,frame animation skill and closest GUI references,"10 frames at 6 fps, looping, trigger: wrath above active threshold, play_on_show according to state entry",deferred_controlled_pool
continent_war_terminal,animated scripted GUI sprite,Animations,Terminal continent-war emblem,generated separate source frames,128x128,"static fallback, source frames, processed frames, horizontal sheet, DDS, preview GIF",continent emblems and transport lines change through authored war states,"transform-only animation, recolour-only frames, generated text",continent_war_terminal_sheet.dds,GFX_012_africa_continent_war_terminal_animated,gfx/interface/012_africa/animations/,frame animation skill and closest GUI references,"12 frames at 8 fps, looping, trigger: terminal continental war active, play_on_show according to state entry",deferred_controlled_pool
idea_continental_mandate,idea or national spirit icon,Ideas,visible idea or staged mechanic state for continental mandate,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_continental_mandate.dds,GFX_idea_012_africa_continental_mandate,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_disputed_host_legitimacy,idea or national spirit icon,Ideas,visible idea or staged mechanic state for disputed host legitimacy,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_disputed_host_legitimacy.dds,GFX_idea_012_africa_disputed_host_legitimacy,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_charter_authority_low,idea or national spirit icon,Ideas,visible idea or staged mechanic state for charter authority low,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_charter_authority_low.dds,GFX_idea_012_africa_charter_authority_low,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_charter_authority_medium,idea or national spirit icon,Ideas,visible idea or staged mechanic state for charter authority medium,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_charter_authority_medium.dds,GFX_idea_012_africa_charter_authority_medium,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_charter_authority_high,idea or national spirit icon,Ideas,visible idea or staged mechanic state for charter authority high,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_charter_authority_high.dds,GFX_idea_012_africa_charter_authority_high,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_integration_burden_low,idea or national spirit icon,Ideas,visible idea or staged mechanic state for integration burden low,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_integration_burden_low.dds,GFX_idea_012_africa_integration_burden_low,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_integration_burden_high,idea or national spirit icon,Ideas,visible idea or staged mechanic state for integration burden high,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_integration_burden_high.dds,GFX_idea_012_africa_integration_burden_high,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_integration_burden_critical,idea or national spirit icon,Ideas,visible idea or staged mechanic state for integration burden critical,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_integration_burden_critical.dds,GFX_idea_012_africa_integration_burden_critical,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_colonial_pressure_low,idea or national spirit icon,Ideas,visible idea or staged mechanic state for colonial pressure low,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_colonial_pressure_low.dds,GFX_idea_012_africa_colonial_pressure_low,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_colonial_pressure_high,idea or national spirit icon,Ideas,visible idea or staged mechanic state for colonial pressure high,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_colonial_pressure_high.dds,GFX_idea_012_africa_colonial_pressure_high,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_regional_confidence,idea or national spirit icon,Ideas,visible idea or staged mechanic state for regional confidence,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_regional_confidence.dds,GFX_idea_012_africa_regional_confidence,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_corridor_network,idea or national spirit icon,Ideas,visible idea or staged mechanic state for corridor network,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_corridor_network.dds,GFX_idea_012_africa_corridor_network,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_diaspora_trust,idea or national spirit icon,Ideas,visible idea or staged mechanic state for diaspora trust,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_diaspora_trust.dds,GFX_idea_012_africa_diaspora_trust,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_common_reserve,idea or national spirit icon,Ideas,visible idea or staged mechanic state for common reserve,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_common_reserve.dds,GFX_idea_012_africa_common_reserve,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_rival_bloc_pressure,idea or national spirit icon,Ideas,visible idea or staged mechanic state for rival bloc pressure,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_rival_bloc_pressure.dds,GFX_idea_012_africa_rival_bloc_pressure,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_continental_overextension,idea or national spirit icon,Ideas,visible idea or staged mechanic state for continental overextension,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_continental_overextension.dds,GFX_idea_012_africa_continental_overextension,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_restoration_settlement,idea or national spirit icon,Ideas,visible idea or staged mechanic state for restoration settlement,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_restoration_settlement.dds,GFX_idea_012_africa_restoration_settlement,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_ecological_wrath,idea or national spirit icon,Ideas,visible idea or staged mechanic state for ecological wrath,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_ecological_wrath.dds,GFX_idea_012_africa_ecological_wrath,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_high_chaos_disease_control,idea or national spirit icon,Ideas,visible idea or staged mechanic state for high chaos disease control,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_high_chaos_disease_control.dds,GFX_idea_012_africa_high_chaos_disease_control,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_world_order_sponsorship,idea or national spirit icon,Ideas,visible idea or staged mechanic state for world order sponsorship,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_world_order_sponsorship.dds,GFX_idea_012_africa_world_order_sponsorship,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_food_security,idea or national spirit icon,Ideas,visible idea or staged mechanic state for food security,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_food_security.dds,GFX_idea_012_africa_food_security,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_resource_sovereignty,idea or national spirit icon,Ideas,visible idea or staged mechanic state for resource sovereignty,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_resource_sovereignty.dds,GFX_idea_012_africa_resource_sovereignty,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_federal_representation,idea or national spirit icon,Ideas,visible idea or staged mechanic state for federal representation,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_federal_representation.dds,GFX_idea_012_africa_federal_representation,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
idea_emergency_continental_command,idea or national spirit icon,Ideas,visible idea or staged mechanic state for emergency continental command,generated icon art,64x64,stage variants where the mechanic is staged,compact symbolic art with one clear subject and coordinated family progression,"focus-icon resize, opaque square, readable text",idea_012_africa_emergency_continental_command.dds,GFX_idea_012_africa_emergency_continental_command,gfx/interface/ideas/012_africa/,assets/vanilla_reference/icons/ideas,static,deferred_controlled_pool
decision_guarantee,decision icon,Decisions,32x32 icon family for guarantee,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_guarantee.dds,GFX_decision_012_africa_guarantee,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_aid_corridor,decision icon,Decisions,32x32 icon family for aid corridor,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_aid_corridor.dds,GFX_decision_012_africa_aid_corridor,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_volunteer_force,decision icon,Decisions,32x32 icon family for volunteer force,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_volunteer_force.dds,GFX_decision_012_africa_volunteer_force,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_intervention,decision icon,Decisions,32x32 icon family for intervention,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_intervention.dds,GFX_decision_012_africa_intervention,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_evacuation,decision icon,Decisions,32x32 icon family for evacuation,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_evacuation.dds,GFX_decision_012_africa_evacuation,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
decision_accession_offer,decision icon,Decisions,32x32 icon family for accession offer,generated icon art,32x32,"separate normal icon, category variant only when listed elsewhere",simple high-contrast silhouette designed for tiny size,"resized focus icon, tiny interior detail, opaque square",decision_012_africa_accession_offer.dds,GFX_decision_012_africa_accession_offer,gfx/interface/decisions/012_africa/,assets/vanilla_reference/icons/decisions,static,deferred_controlled_pool
