batch_index,range_index,start_province,end_province,count
7,9,2136,2136,1
7,10,2139,2139,1
7,11,2142,2142,1
7,12,2146,2147,2
7,13,2149,2229,81
7,14,2407,2407,1
7,15,2489,2489,1
7,16,2843,2843,1
7,17,2853,2853,1
7,18,2877,2877,1
7,19,2900,2900,1
7,20,2923,2923,1
7,21,2947,2947,1
7,22,2972,2972,1
7,23,2992,2992,1
7,24,2994,2996,3
7,25,2998,3000,3
7,26,3003,3005,3
7,27,3007,3010,4
7,28,3012,3013,2
7,29,3016,3018,3
7,30,3021,3022,2
7,31,3025,3027,3
7,32,3030,3031,2
7,33,3033,3035,3
7,34,3039,3041,3
7,35,3044,3045,2
7,36,3048,3050,3
7,37,3053,3060,8
8,0,3061,3194,134
8,1,3196,3197,2
8,2,3199,3199,1
8,3,3202,3203,2
8,4,3205,3208,4
8,5,3210,3211,2
8,6,3214,3216,3
8,7,3219,3221,3
8,8,3224,3226,3
8,9,3229,3231,3
8,10,3234,3236,3
8,11,3240,3242,3
8,12,3245,3247,3
8,13,3250,3251,2
8,14,3254,3335,82
9,0,3336,3399,64
9,1,3401,3404,4
9,2,3406,3407,2
9,3,3409,3410,2
9,4,3412,3415,4
9,5,3417,3418,2
9,6,3421,3423,3
9,7,3426,3427,2
9,8,3430,3431,2
9,9,3434,3435,2
9,10,3438,3439,2
9,11,3443,3444,2
9,12,3447,3449,3
9,13,3452,3452,1
9,14,3455,3527,73
9,15,3529,3589,61
9,16,3592,3594,3
9,17,3596,3598,3
9,18,3601,3602,2
9,19,3604,3606,3
9,20,3608,3609,2
9,21,3612,3614,3
9,22,3617,3618,2
9,23,3621,3623,3
10,0,3626,3627,2
10,1,3629,3631,3
10,2,3635,3636,2
10,3,3639,3641,3
10,4,3644,3646,3
10,5,3649,3784,136
10,6,3786,3788,3
10,7,3790,3791,2
10,8,3794,3796,3
10,9,3798,3800,3
10,10,3802,3803,2
10,11,3806,3807,2
10,12,3810,3811,2
10,13,3814,3816,3
10,14,3819,3820,2
10,15,3823,3824,2
10,16,3828,3830,3
10,17,3833,3835,3
10,18,3838,3840,3
10,19,3843,3910,68
11,0,3911,3989,79
11,1,3991,3992,2
11,2,3994,3996,3
11,3,3999,4001,3
11,4,4003,4006,4
11,5,4008,4010,3
11,6,4013,4014,2
11,7,4017,4019,3
11,8,4022,4024,3
11,9,4027,4029,3
11,10,4031,4033,3
11,11,4037,4038,2
11,12,4041,4042,2
11,13,4045,4047,3
11,14,4050,4184,135
12,0,4185,4200,16
12,1,4202,4211,10
12,2,4214,4216,3
12,3,4218,4219,2
12,4,4222,4224,3
12,5,4226,4229,4
12,6,4231,4233,3
12,7,4236,4238,3
12,8,4241,4242,2
12,9,4245,4247,3
12,10,4250,4252,3
12,11,4254,4256,3
12,12,4260,4262,3
12,13,4265,4266,2
12,14,4268,4270,3
12,15,4273,4369,97
12,16,4371,4437,67
12,17,4440,4442,3
12,18,4444,4446,3
12,19,4449,4450,2
12,20,4452,4455,4
12,21,4457,4459,3
12,22,4462,4464,3
12,23,4467,4469,3
12,24,4472,4473,2
13,0,4476,4478,3
13,1,4480,4482,3
13,2,4486,4488,3
13,3,4491,4493,3
13,4,4495,4496,2
13,5,4499,4661,163
13,6,4664,4666,3
13,7,4668,4670,3
13,8,4673,4675,3
13,9,4677,4678,2
13,10,4680,4682,3
13,11,4685,4687,3
13,12,4690,4692,3
13,13,4695,4697,3
13,14,4700,4701,2
13,15,4703,4705,3
13,16,4709,4711,3
13,17,4714,4716,3
13,18,4718,4720,3
13,19,4723,4758,36
14,0,4759,4884,126
14,1,4887,4889,3
14,2,4891,4893,3
14,3,4896,4898,3
14,4,4900,4904,5
14,5,4908,4910,3
14,6,4913,4915,3
14,7,4918,4920,3
14,8,4923,4925,3
14,9,4927,4928,2
14,10,4932,4934,3
14,11,4937,4939,3
14,12,4941,4943,3
14,13,4946,5032,87
15,0,5033,5107,75
15,1,5110,5110,1
15,2,5112,5112,1
15,3,5115,5115,1
15,4,5117,5121,5
15,5,5125,5125,1
15,6,5128,5128,1
15,7,5131,5131,1
15,8,5134,5136,3
15,9,5138,5139,2
15,10,5143,5143,1
15,11,5146,5146,1
15,12,5148,5148,1
15,13,5151,5232,82
15,14,5239,5239,1
15,15,5264,5264,1
15,16,5283,5283,1
15,17,5291,5291,1
15,18,5310,5310,1
15,19,5317,5317,1
15,20,5736,5736,1
15,21,6008,6010,3
15,22,6012,6013,2
15,23,6015,6017,3
15,24,6020,6025,6
15,25,6027,6029,3
15,26,6033,6035,3
15,27,6038,6042,5
15,28,6045,6047,3
15,29,6050,6052,3
15,30,6055,6057,3
15,31,6061,6063,3
15,32,6066,6067,2
15,33,6070,6097,28
16,0,6098,6218,121
16,1,6220,6222,3
16,2,6224,6226,3
16,3,6229,6233,5
16,4,6235,6237,3
16,5,6241,6243,3
16,6,6245,6249,5
16,7,6252,6254,3
16,8,6257,6259,3
16,9,6262,6264,3
16,10,6268,6270,3
16,11,6273,6275,3
16,12,6278,6369,92
17,0,6370,6418,49
17,1,6420,6421,2
17,2,6423,6424,2
17,3,6428,6432,5
17,4,6435,6436,2
17,5,6440,6441,2
17,6,6444,6446,3
17,7,6449,6451,3
17,8,6454,6455,2
17,9,6458,6460,3
17,10,6462,6464,3
17,11,6468,6470,3
17,12,6473,6474,2
17,13,6477,6607,131
17,14,6609,6611,3
17,15,6613,6615,3
17,16,6618,6622,5
17,17,6625,6626,2
17,18,6630,6631,2
17,19,6634,6635,2
17,20,6638,6639,2
17,21,6642,6644,3
17,22,6647,6648,2
17,23,6650,6652,3
17,24,6656,6658,3
17,25,6661,6662,2
17,26,6665,6670,6
18,0,6671,6800,130
18,1,6803,6804,2
18,2,6806,6808,3
18,3,6811,6814,4
18,4,6817,6818,2
18,5,6822,6823,2
18,6,6826,6828,3
18,7,6831,6833,3
18,8,6836,6838,3
18,9,6841,6843,3
18,10,6845,6846,2
18,11,6850,6852,3
18,12,6855,6857,3
18,13,6860,6946,87
19,0,6947,7001,55
19,1,7003,7005,3
19,2,7007,7008,2
19,3,7011,7016,6
19,4,7019,7021,3
19,5,7025,7027,3
19,6,7030,7030,1
19,7,7033,7035,3
19,8,7039,7041,3
19,9,7044,7046,3
19,10,7048,7050,3
19,11,7054,7055,2
19,12,7058,7060,3
19,13,7063,7222,160
20,0,7223,7225,3
20,1,7227,7229,3
20,2,7231,7233,3
20,3,7236,7240,5
20,4,7243,7245,3
20,5,7249,7251,3
20,6,7254,7256,3
20,7,7259,7260,2
20,8,7264,7266,3
20,9,7269,7271,3
20,10,7273,7275,3
20,11,7279,7281,3
20,12,7284,7285,2
20,13,7288,7451,164
20,14,7453,7455,3
20,15,7457,7459,3
20,16,7462,7466,5
20,17,7469,7471,3
20,18,7475,7477,3
20,19,7480,7482,3
20,20,7485,7487,3
20,21,7491,7492,2
20,22,7495,7497,3
20,23,7500,7502,3
20,24,7506,7508,3
20,25,7511,7513,3
20,26,7516,7525,10
21,0,7526,7677,152
21,1,7680,7685,6
21,2,7687,7689,3
21,3,7691,7693,3
21,4,7696,7697,2
21,5,7701,7703,3
21,6,7706,7708,3
21,7,7711,7713,3
21,8,7716,7718,3
21,9,7721,7722,2
21,10,7725,7727,3
21,11,7731,7733,3
21,12,7736,7738,3
21,13,7741,7801,61
22,0,7802,7905,104
22,1,7908,7909,2
22,2,7911,7913,3
22,3,7915,7917,3
22,4,7919,7921,3
22,5,7924,7926,3
22,6,7930,7931,2
22,7,7934,7936,3
22,8,7938,7940,3
22,9,7943,7945,3
22,10,7948,7950,3
22,11,7953,7954,2
22,12,7958,7960,3
22,13,7963,7965,3
22,14,7968,8077,110
23,0,8078,8130,53
23,1,8133,8134,2
23,2,8136,8136,1
23,3,8138,8138,1
23,4,8140,8140,1
23,5,8143,8144,2
23,6,8148,8149,2
23,7,8152,8152,1
23,8,8155,8155,1
23,9,8157,8157,1
23,10,8160,8161,2
23,11,8164,8165,2
23,12,8169,8169,1
23,13,8172,8172,1
23,14,8175,8255,81
23,15,8360,8360,1
23,16,8435,8435,1
23,17,8461,8461,1
23,18,9032,9033,2
23,19,9035,9036,2
23,20,9038,9039,2
23,21,9041,9043,3
23,22,9045,9047,3
23,23,9050,9051,2
23,24,9054,9056,3
23,25,9059,9061,3
23,26,9064,9066,3
23,27,9068,9069,2
23,28,9073,9075,3
23,29,9078,9079,2
23,30,9082,9084,3
23,31,9088,9090,3
23,32,9093,9124,32
23,33,9126,9152,27
24,0,9153,9402,250
25,0,9403,9652,250
26,0,9653,9902,250
27,0,9903,10152,250
28,0,10153,10402,250
29,0,10403,10652,250
30,0,10653,10902,250
31,0,10903,11152,250
32,0,11153,11402,250
33,0,11403,11652,250
34,0,11653,11747,95
34,1,11749,11826,78
34,2,11828,11904,77
35,0,11905,12154,250
36,0,12155,12388,234
36,1,12390,12405,16
37,0,12406,12655,250
38,0,12656,12905,250
39,0,12906,13003,98
39,1,13005,13005,1
39,2,13008,13094,87
39,3,13116,13116,1
39,4,13143,13143,1
39,5,13150,13150,1
39,6,13195,13197,3
39,7,13202,13259,58
40,0,13260,13413,154
