source,category,bytes,lines,sha256,read_status,note
chaos-redux-scripted-gui.md,project source,23695,130,f85f0a0888b25d14ca6d6b6535ea8b578542e19dac1f5fbd3d9113e51a525b93,FULL TEXT READ,Identity hash is not proof of comprehension
chaos-redux-subagents.md,project source,41493,366,68e6b1d4878e4c87981c9e58cebb1182052555d9313d60748fd573f01ad8223e,FULL TEXT READ,Identity hash is not proof of comprehension
chaos-redux-super-events.md,project source,33489,787,001a899b4b19ccf6bdf15a82bd446eae0e290c5f64caec5762883af25976924e,FULL TEXT READ,Identity hash is not proof of comprehension
chaos_redux_clusters_catalog.csv,project source,5362,20,689fe07883da14abe2ceb7c29c151db50808cf97a366e60808281b16e37c76a2,FULL TEXT READ,Identity hash is not proof of comprehension
chaos_redux_events_catalog.csv,project source,65053,294,e2e457ba96ae89b316aa01248eebe41d9aacbafc590f4940b56a55133fcd35c6,FULL TEXT READ,Identity hash is not proof of comprehension
chaos_redux_scenarios_catalog.csv,project source,16848,120,8b944de19817b3887eac22e3d12437e62990273c8b0db1c6f27928f349d4b2e7,FULL TEXT READ,Identity hash is not proof of comprehension
chaosx_dynamic_effects.md,project source,19635,328,73b2740ebfb891c6772de72d456dd1805f5bd3921f61ff60c0df38c6f2c45030,FULL TEXT READ,Identity hash is not proof of comprehension
chaosx_dynamic_triggers.md,project source,3991,61,6792ee030cb6b658698e92f188f4980e05553f80ba3de8b9260d3cf47fab4843,FULL TEXT READ,Identity hash is not proof of comprehension
config.toml,project source,11714,192,24bcac71960d42d2958fc98b49fd38a5244b0946bf80cf3ddb879a633c269427,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_3d_model_pipeline.toml,subagent profile,27552,197,f0036ce6d12b60c01c3b1042ddee59bbefad13f8267625efcfd9569ac42d226d,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_ai_probability_auditor.toml,subagent profile,6414,66,1c3c202e7f15d310cbe2879f3d6f088e2c2fe71806bb33f13bd276c173d184b2,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_asset_source_researcher.toml,subagent profile,3024,58,f652dfac61f3e41decbdcbb48765b281f7ac7bc0eb7803aa2a89d94c6ccdea7b,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_country_package_auditor.toml,subagent profile,8099,87,d1c6e194082366b514310f76d4c8e7e81679fc81d2be6d23bb59fc16a0ce4bd0,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_decision_mission_auditor.toml,subagent profile,8994,100,1b1f9e50909d54daf2a11d255873b7382f970871543d751d924d94b015265a32,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_documentation_curator.toml,subagent profile,11319,134,e881bcc4303dac392904464c7bdce47a11d2210f6f794842f56245579c048008,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_event_completion_auditor.toml,subagent profile,4141,66,38180484672c2cb363b40cbdd712ef9dbdd1df9cda9acbc534223ab42fb22990,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_event_ui_worker.toml,subagent profile,10136,90,56a254896faf78e4c6ca5aa6398fa5ac6b7106ec6bdc6f0efe767acfa879032c,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_focus_tree_auditor.toml,subagent profile,4480,80,88149cedcf2de42a2b824635133d083dac4ab9e911de4d91174b727919bb7aac,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_generated_event_art.toml,subagent profile,3930,72,d056a89535a8740cd6dac3d61cea5f5a73fe9ef6e4d9a87406a86aedc851a38d,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_icon_artist.toml,subagent profile,10096,117,df0345a30665c2197b77e5a9df72fd12d545086de3010358077fbe4bf9799f2b,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_improvement_loop_planner.toml,subagent profile,7229,61,c8bcb04ac81e33dac5975c7f3294383f730645b3a3fc3ef26b0c2eb1d79a86b8,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_localisation_auditor.toml,subagent profile,9782,111,8d588111bb27da851af9d16b8c426d6e9b59e517444464225e0a3e91385a161b,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_portrait_creator.toml,subagent profile,2049,20,ea2ae603081f64afa82f588bfc143b35f97ee8165f16cf0271784869c55086f8,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_repo_explorer.toml,subagent profile,13488,235,276acf0305e8b2a1a9c2b6f60cc8153a9e5cd2d629dca85c592e834c9a65fd9a,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_scripted_system_architect.toml,subagent profile,5388,74,7c845c07d54d3c19533ed24f6a68a9b77d9e90e056824bd87023916d9a8a89f2,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_skill_maintainer.toml,subagent profile,3258,45,232a9a008c076c9baf38e10b412c8d1bbedfd108e209f33b514053f29b41d148,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_spreadsheet_doc_worker.toml,subagent profile,4605,59,896cb63222484317280d31c340edfc282847774f8edab31a68d7fc2b8b0be33b,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_super_event_audio_researcher.toml,subagent profile,3342,65,c0e7e0c422f158e566e2b8fa72de3da225ff626ef3fab06927281b9e33a458c3,FULL TEXT READ,Identity hash is not proof of comprehension
subagents/chaosx_super_event_text_researcher.toml,subagent profile,3921,62,c918dae02f2b1127f71134065558f313faec82fba49f3e43022bfeaf3bfb66cb,FULL TEXT READ,Identity hash is not proof of comprehension
Pasted markdown(20260920-095835).md,original brief,10943,407,c57de000ccb4bdb77d074a7dd3552ce2588f4240672dfe8717b8a21e4f8678c1,FULL TEXT READ,Identity hash is not proof of comprehension
