source_kind,filename,relative_or_absolute_path,bytes,sha256,read_status
extracted_subagent_definition,chaosx_focus_tree_auditor.toml,/mnt/data/subagents_extracted/chaosx_focus_tree_auditor.toml,4499,83149977d6749cfe743d8ec4c2afa769a019dbfbbc8fd62390460b3629f444e3,fully_read
extracted_subagent_definition,chaosx_generated_event_art.toml,/mnt/data/subagents_extracted/chaosx_generated_event_art.toml,3307,76e26422ac3e59c3fe43b5cc8fb969fc52973e22b241d4caa85aedc9dc80670a,fully_read
extracted_subagent_definition,chaosx_icon_artist.toml,/mnt/data/subagents_extracted/chaosx_icon_artist.toml,6610,61fa1d540d47a7571f8dff0636a43bfa7fda4f74b875662be307a88f9e8364e9,fully_read
extracted_subagent_definition,chaosx_improvement_loop_planner.toml,/mnt/data/subagents_extracted/chaosx_improvement_loop_planner.toml,7069,a90323b1cbbd664fa61e245186fe7dd912498018e07f3e2393e2641555fbd2bf,fully_read
extracted_subagent_definition,chaosx_localisation_auditor.toml,/mnt/data/subagents_extracted/chaosx_localisation_auditor.toml,8894,8133c2956a876475179383e5e6bff051776d0f4abbad797d88627846f932ca4d,fully_read
extracted_subagent_definition,chaosx_portrait_creator.toml,/mnt/data/subagents_extracted/chaosx_portrait_creator.toml,2029,87b001c6fb5afc33267eb77a3187ff654dbf6b03ae5d669cb2d5182bf7ac2174,fully_read
extracted_subagent_definition,chaosx_repo_explorer.toml,/mnt/data/subagents_extracted/chaosx_repo_explorer.toml,12690,3b7380b83e0dd6bba741b5c5cd5419e3e5bf22c284459d28d60706b246d964a1,fully_read
extracted_subagent_definition,chaosx_scripted_system_architect.toml,/mnt/data/subagents_extracted/chaosx_scripted_system_architect.toml,5387,b2e012aaec78bc875ae27275eb03f86d425aa19ece182716d2570117ff56cacf,fully_read
extracted_subagent_definition,chaosx_skill_maintainer.toml,/mnt/data/subagents_extracted/chaosx_skill_maintainer.toml,3819,1c5efb578a007fc1e3e7f0561d7353876d73918be830f754870041f9d2f66ac2,fully_read
extracted_subagent_definition,chaosx_spreadsheet_doc_worker.toml,/mnt/data/subagents_extracted/chaosx_spreadsheet_doc_worker.toml,4607,b34a6420591c90ba905cc793e36a531bb4c1e3484fa4684663eb49cac0e70832,fully_read
extracted_subagent_definition,chaosx_super_event_audio_researcher.toml,/mnt/data/subagents_extracted/chaosx_super_event_audio_researcher.toml,3333,16df05752d0ebff6838e2580a35cfac30e781ab1eef3d16e8deec2835a5a2834,fully_read
extracted_subagent_definition,chaosx_super_event_text_researcher.toml,/mnt/data/subagents_extracted/chaosx_super_event_text_researcher.toml,3921,c918dae02f2b1127f71134065558f313faec82fba49f3e43022bfeaf3bfb66cb,fully_read
