focus_id,branch,branch_index,content_layer,availability_gate,duration_days,prerequisite,mechanical_role,payoff_direction
bul_048_army_13,The Bulgarian Army Reborn,13,base_tree,baseline,70,bul_048_army_12,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_14,The Bulgarian Army Reborn,14,base_tree,baseline,70,bul_048_army_13,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_15,The Bulgarian Army Reborn,15,base_tree,baseline,70,bul_048_army_14,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_16,The Bulgarian Army Reborn,16,base_tree,baseline,70,bul_048_army_15,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_17,The Bulgarian Army Reborn,17,base_tree,baseline,70,bul_048_army_16,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_18,The Bulgarian Army Reborn,18,base_tree,baseline,70,bul_048_army_17,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_19,The Bulgarian Army Reborn,19,base_tree,baseline,70,bul_048_army_18,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_army_20,The Bulgarian Army Reborn,20,base_tree,baseline,70,bul_048_army_19,"templates, equipment, doctrine, logistics, officers, and major-power combat","changes a military capability, template, production, or command system"
bul_048_industry_01,Arsenal of the Balkans,1,base_tree,baseline,70,bul_048_awakening_02,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_02,Arsenal of the Balkans,2,base_tree,baseline,70,bul_048_industry_01,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_03,Arsenal of the Balkans,3,base_tree,baseline,70,bul_048_industry_02,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_04,Arsenal of the Balkans,4,base_tree,baseline,70,bul_048_industry_03,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_05,Arsenal of the Balkans,5,base_tree,baseline,70,bul_048_industry_04,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_06,Arsenal of the Balkans,6,base_tree,baseline,70,bul_048_industry_05,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_07,Arsenal of the Balkans,7,base_tree,baseline,70,bul_048_industry_06,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_08,Arsenal of the Balkans,8,base_tree,baseline,70,bul_048_industry_07,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_09,Arsenal of the Balkans,9,base_tree,baseline,70,bul_048_industry_08,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_10,Arsenal of the Balkans,10,base_tree,baseline,70,bul_048_industry_09,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_11,Arsenal of the Balkans,11,base_tree,baseline,70,bul_048_industry_10,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_12,Arsenal of the Balkans,12,base_tree,baseline,70,bul_048_industry_11,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_13,Arsenal of the Balkans,13,base_tree,baseline,70,bul_048_industry_12,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_14,Arsenal of the Balkans,14,base_tree,baseline,70,bul_048_industry_13,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_15,Arsenal of the Balkans,15,base_tree,baseline,70,bul_048_industry_14,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_16,Arsenal of the Balkans,16,base_tree,baseline,70,bul_048_industry_15,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_17,Arsenal of the Balkans,17,base_tree,baseline,70,bul_048_industry_16,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_industry_18,Arsenal of the Balkans,18,base_tree,baseline,70,bul_048_industry_17,"factories, railways, supply, airfields, ports, resources, and reconstruction",creates map or production capacity and feeds later logistics
bul_048_san_stefano_01,The San Stefano Dream,1,base_tree,baseline,35,bul_048_awakening_06,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_02,The San Stefano Dream,2,base_tree,baseline,35,bul_048_san_stefano_01,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_03,The San Stefano Dream,3,base_tree,baseline,35,bul_048_san_stefano_02,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_04,The San Stefano Dream,4,base_tree,baseline,35,bul_048_san_stefano_03,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_05,The San Stefano Dream,5,base_tree,baseline,35,bul_048_san_stefano_04,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_06,The San Stefano Dream,6,base_tree,baseline,35,bul_048_san_stefano_05,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_07,The San Stefano Dream,7,base_tree,baseline,35,bul_048_san_stefano_06,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_08,The San Stefano Dream,8,base_tree,baseline,35,bul_048_san_stefano_07,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_09,The San Stefano Dream,9,base_tree,baseline,70,bul_048_san_stefano_08,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_10,The San Stefano Dream,10,base_tree,baseline,70,bul_048_san_stefano_09,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_11,The San Stefano Dream,11,base_tree,baseline,70,bul_048_san_stefano_10,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_12,The San Stefano Dream,12,base_tree,baseline,70,bul_048_san_stefano_11,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_13,The San Stefano Dream,13,base_tree,baseline,70,bul_048_san_stefano_12,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_14,The San Stefano Dream,14,base_tree,baseline,70,bul_048_san_stefano_13,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_15,The San Stefano Dream,15,evolution_i,chaos_200_evolution_i,70,bul_048_san_stefano_14,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_16,The San Stefano Dream,16,evolution_i,chaos_200_evolution_i,70,bul_048_san_stefano_15,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_17,The San Stefano Dream,17,evolution_i,chaos_200_evolution_i,70,bul_048_san_stefano_16,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_18,The San Stefano Dream,18,evolution_i,chaos_200_evolution_i,70,bul_048_san_stefano_17,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_19,The San Stefano Dream,19,evolution_i,chaos_200_evolution_i,70,bul_048_san_stefano_18,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_san_stefano_20,The San Stefano Dream,20,evolution_i,chaos_200_evolution_i,70,bul_048_san_stefano_19,"Balkan territorial pressure, war preparation, integration, and Greater Bulgaria","opens a target group, pressure method, integration step, or formation proof"
bul_048_diplomacy_01,Balkan Hegemony,1,base_tree,baseline,70,bul_048_awakening_05,"regional diplomacy, protectorates, faction policy, and outside-power management","changes target reactions, subject handling, faction access, or foreign alignment"
bul_048_diplomacy_02,Balkan Hegemony,2,base_tree,baseline,70,bul_048_diplomacy_01,"regional diplomacy, protectorates, faction policy, and outside-power management","changes target reactions, subject handling, faction access, or foreign alignment"
bul_048_diplomacy_03,Balkan Hegemony,3,base_tree,baseline,70,bul_048_diplomacy_02,"regional diplomacy, protectorates, faction policy, and outside-power management","changes target reactions, subject handling, faction access, or foreign alignment"
bul_048_diplomacy_04,Balkan Hegemony,4,base_tree,baseline,70,bul_048_diplomacy_03,"regional diplomacy, protectorates, faction policy, and outside-power management","changes target reactions, subject handling, faction access, or foreign alignment"
bul_048_diplomacy_05,Balkan Hegemony,5,base_tree,baseline,70,bul_048_diplomacy_04,"regional diplomacy, protectorates, faction policy, and outside-power management","changes target reactions, subject handling, faction access, or foreign alignment"
bul_048_diplomacy_06,Balkan Hegemony,6,base_tree,baseline,70,bul_048_diplomacy_05,"regional diplomacy, protectorates, faction policy, and outside-power management","changes target reactions, subject handling, faction access, or foreign alignment"
bul_048_diplomacy_07,Balkan Hegemony,7,base_tree,baseline,70,bul_048_diplomacy_06,"regional diplomacy, protectorates, faction policy, and outside-power management","changes target reactions, subject handling, faction access, or foreign alignment"
bul_048_diplomacy_08,Balkan Hegemony,8,base_tree,baseline,70,bul_048_diplomacy_07,"regional diplomacy, protectorates, faction policy, and outside-power management","changes target reactions, subject handling, faction access, or foreign alignment"
bul_048_diplomacy_09,Balkan Hegemony,9,base_tree,baseline,70,bul_048_diplomacy_08,"regional diplomacy, protectorates, faction policy, and outside-power management","changes target reactions, subject handling, faction access, or foreign alignment"
bul_048_diplomacy_10,Balkan Hegemony,10,base_tree,baseline,70,bul_048_diplomacy_09,"regional diplomacy, protectorates, faction policy, and outside-power management","changes target reactions, subject handling, faction access, or foreign alignment"
bul_048_diplomacy_11,Balkan Hegemony,11,base_tree,baseline,70,bul_048_diplomacy_10,"regional diplomacy, protectorates, faction policy, and outside-power management","changes target reactions, subject handling, faction access, or foreign alignment"
bul_048_diplomacy_12,Balkan Hegemony,12,base_tree,baseline,70,bul_048_diplomacy_11,"regional diplomacy, protectorates, faction policy, and outside-power management","changes target reactions, subject handling, faction access, or foreign alignment"
bul_048_simeon_01,Crown of Simeon,1,base_tree,baseline,70,bul_048_san_stefano_16,"imperial politics, broader Balkan order, and Bulgarian Empire formation",advances imperial institutions and the Bulgarian Empire payoff
bul_048_simeon_02,Crown of Simeon,2,base_tree,baseline,70,bul_048_simeon_01,"imperial politics, broader Balkan order, and Bulgarian Empire formation",advances imperial institutions and the Bulgarian Empire payoff
bul_048_simeon_03,Crown of Simeon,3,evolution_ii,chaos_400_evolution_ii,70,bul_048_simeon_02,"imperial politics, broader Balkan order, and Bulgarian Empire formation",advances imperial institutions and the Bulgarian Empire payoff
bul_048_simeon_04,Crown of Simeon,4,evolution_ii,chaos_400_evolution_ii,70,bul_048_simeon_03,"imperial politics, broader Balkan order, and Bulgarian Empire formation",advances imperial institutions and the Bulgarian Empire payoff
bul_048_simeon_05,Crown of Simeon,5,evolution_ii,chaos_400_evolution_ii,70,bul_048_simeon_04,"imperial politics, broader Balkan order, and Bulgarian Empire formation",advances imperial institutions and the Bulgarian Empire payoff
bul_048_simeon_06,Crown of Simeon,6,evolution_ii,chaos_400_evolution_ii,70,bul_048_simeon_05,"imperial politics, broader Balkan order, and Bulgarian Empire formation",advances imperial institutions and the Bulgarian Empire payoff
bul_048_simeon_07,Crown of Simeon,7,evolution_ii,chaos_400_evolution_ii,70,bul_048_simeon_06,"imperial politics, broader Balkan order, and Bulgarian Empire formation",advances imperial institutions and the Bulgarian Empire payoff
bul_048_simeon_08,Crown of Simeon,8,evolution_ii,chaos_400_evolution_ii,70,bul_048_simeon_07,"imperial politics, broader Balkan order, and Bulgarian Empire formation",advances imperial institutions and the Bulgarian Empire payoff
bul_048_kubrat_01,Kubrat's Legacy,1,base_tree,chaos_600_evolution_iii,70,bul_048_simeon_08,"Black Sea logistics, eastern expansion, and Old Great Bulgaria formation",advances Black Sea reach and the final formable proof
bul_048_kubrat_02,Kubrat's Legacy,2,base_tree,chaos_600_evolution_iii,70,bul_048_kubrat_01,"Black Sea logistics, eastern expansion, and Old Great Bulgaria formation",advances Black Sea reach and the final formable proof
bul_048_kubrat_03,Kubrat's Legacy,3,base_tree,chaos_600_evolution_iii,70,bul_048_kubrat_02,"Black Sea logistics, eastern expansion, and Old Great Bulgaria formation",advances Black Sea reach and the final formable proof
bul_048_kubrat_04,Kubrat's Legacy,4,base_tree,chaos_600_evolution_iii,70,bul_048_kubrat_03,"Black Sea logistics, eastern expansion, and Old Great Bulgaria formation",advances Black Sea reach and the final formable proof
bul_048_kubrat_05,Kubrat's Legacy,5,base_tree,chaos_600_evolution_iii,70,bul_048_kubrat_04,"Black Sea logistics, eastern expansion, and Old Great Bulgaria formation",advances Black Sea reach and the final formable proof
bul_048_kubrat_06,Kubrat's Legacy,6,base_tree,chaos_600_evolution_iii,70,bul_048_kubrat_05,"Black Sea logistics, eastern expansion, and Old Great Bulgaria formation",advances Black Sea reach and the final formable proof
bul_048_kubrat_07,Kubrat's Legacy,7,base_tree,chaos_600_evolution_iii,70,bul_048_kubrat_06,"Black Sea logistics, eastern expansion, and Old Great Bulgaria formation",advances Black Sea reach and the final formable proof
bul_048_kubrat_08,Kubrat's Legacy,8,base_tree,chaos_600_evolution_iii,70,bul_048_kubrat_07,"Black Sea logistics, eastern expansion, and Old Great Bulgaria formation",advances Black Sea reach and the final formable proof
bul_048_kubrat_09,Kubrat's Legacy,9,base_tree,chaos_600_evolution_iii,70,bul_048_kubrat_08,"Black Sea logistics, eastern expansion, and Old Great Bulgaria formation",advances Black Sea reach and the final formable proof
bul_048_kubrat_10,Kubrat's Legacy,10,base_tree,chaos_600_evolution_iii,70,bul_048_kubrat_09,"Black Sea logistics, eastern expansion, and Old Great Bulgaria formation",advances Black Sea reach and the final formable proof
