"package_id","working_name","resolved_tag","automatic_pool_disposition","readiness_verdict","anchor_binding_mode","anchor_state_ids","anchor_state_names","compact_state_ids","compact_state_names","extended_state_ids","extended_state_names","reservation_group","baseline_state_ids","baseline_state_names","rebind_status","initial_owner_by_state","initial_owner_capitals","host_survival_implication","binding_reason","source_evidence","installed_state_history_files","missing_current_state_ids"
"IW-023","Transylvania","TRA","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","84","Transylvania","84|76","Transylvania|North Transylvania","","","RG-DANUBE-BORDERLAND","84|76","Transylvania | North Transylvania","unchanged_current_ids","76=ROM|84=ROM","ROM=46","ROM retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Transylvania and North Transylvania remain the compact package.","TRA installed cores confirm states 84 and 76. Installed state history and STATE_n localisation were also checked.","76-Northern Transylvania.txt|84-Transylvania.txt",""
"IW-024","Banat","AXX","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","82","Banat","82","Banat","764","West Banat","RG-DANUBE-BORDERLAND","82","Banat","expanded_with_current_splits","82=ROM|764=YUG","ROM=46|YUG=107","ROM retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Banat anchors on state 82; West Banat is optional and collides with Vojvodina's extension.","Installed state history and STATE_n localisation checked.","82-Banat.txt|764-West Banat.txt",""
"IW-025","Vojvodina","","vanilla_route_overlay_only","overlay_nonselectable","overlay_carrier_route","45","Vojvodina","45","Vojvodina","764","West Banat","RG-DANUBE-BORDERLAND","45","Vojvodina","expanded_with_current_splits","45=YUG|764=YUG","YUG=107","YUG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Vojvodina anchors on state 45; West Banat is optional and collides with Banat's extension.","Installed state history and STATE_n localisation checked.","45-Yugoslavia.txt|764-West Banat.txt",""
"IW-026","Macedonia","MAC","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","106","Macedonia","106","Macedonia","970","Debar","RG-106","106","Macedonia","expanded_with_current_splits","106=YUG|970=YUG","YUG=107","YUG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Macedonia anchors on state 106; Debar is optional extension.","MAC installed cores are states 106 and 970. Installed state history and STATE_n localisation were also checked.","106-Macedonia.txt|970 - Western Macedonia.txt",""
"IW-027","Thrace","BAX","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","184","Thrace","184","Thrace","","","RG-184","184","Thrace","unchanged_current_ids","184=GRE","GRE=47","GRE retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","184-Thrace.txt",""
"IW-028","Epirus","BBX","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","185","Epirus","185","Epirus","805","Northern Epirus","RG-185","185","Epirus","expanded_with_current_splits","185=GRE|805=ALB","ALB=44|GRE=47","GRE retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Epirus anchors on state 185; Northern Epirus is optional extension.","Installed state history and STATE_n localisation checked.","185-Epirus.txt|805-Northern Epirus.txt",""
"IW-029","Bosnia","BOS","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","104","Bosnia","104","Bosnia","804","Herzegovina","RG-104","104","Bosnia","expanded_with_current_splits","104=YUG|804=YUG","YUG=107","YUG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Bosnia anchors on state 104; Herzegovina is optional extension.","BOS installed cores are states 104 and 804. Installed state history and STATE_n localisation were also checked.","104-Bosnia.txt|804-Herzegovina.txt",""
"IW-030","Montenegro","MNT","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","105","Montenegro","105","Montenegro","","","RG-105","105","Montenegro","unchanged_current_ids","105=YUG","YUG=107","YUG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","105-Montenegro.txt",""
"IW-031","Kosovo","KOS","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","802","Kosovo","802","Kosovo","","","RG-DANUBE-BORDERLAND","","Kosovo has no unique state in the public 763-state baseline, use a current-map Kosovo state only","new_current_state_binding","802=YUG","YUG=107","YUG retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The installed map has a unique Kosovo state.","Current state 802 is Kosovo. Installed state history and STATE_n localisation were also checked.","802-Kosovo.txt",""
"IW-032","Slavonia","BFX","automatic_pool_ready_if_unique_state_exists","disabled_no_unique_current_state","unbound","","","","","","","RG-DANUBE-BORDERLAND","109","Croatia, with a Slavonia substate required before automatic use","baseline_rejected","","","Not selectable: no authoritative current-map binding.","The installed map still has broad Croatia state 109 and no distinct Slavonia state.","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-033","Karelia","KAR","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","146","Karjala","146|147","Karjala|Salla","215|216","Onega|Olonets","RG-146","146","Karjala","expanded_with_current_splits","146=FIN|147=FIN|215=SOV|216=SOV","FIN=111|SOV=219","FIN retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Karjala and Salla form the compact set; Onega and Olonets are optional extensions.","KAR installed cores are states 146, 147, 215, and 216. Installed state history and STATE_n localisation were also checked.","146-Karelia.txt|147-Salla.txt|215-Eastern Karelia.txt|216-Below Zero.txt",""
"IW-034","Ingria","BHX","formable_or_route_only","route_only_bound","fixed_anchor_compact","195","Leningrad","195","Leningrad","","","RG-BALTIC-LIVONIA","195","Leningrad, which is protected as a host capital in normal play","unchanged_current_ids","195=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","195-Leningrad Area.txt",""
"IW-035","Livonia","","vanilla_route_overlay_only","overlay_nonselectable","overlay_carrier_route","12","Vidzeme","12|191","Vidzeme|Tartu","","","RG-BALTIC-LIVONIA","12|191","Vidzeme | Tartu, used only for a negotiated Livonian formable","unchanged_current_ids","12=LAT|191=EST","EST=812|LAT=808","EST retains at least one 1936 state after the compact set; LAT retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Vidzeme and Tartu remain the negotiated route-only Livonian compact.","Installed state history and STATE_n localisation checked.","12-Latvia.txt|191-Tartu.txt",""
"IW-036","Courland","BJX","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","190","Kurzeme","190","Kurzeme","","","RG-BALTIC-LIVONIA","190","Kurzeme","unchanged_current_ids","190=LAT","LAT=808","LAT retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","190-Kurzeme.txt",""
"IW-037","Polesia","BKX","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","94","Polesie","94","Polesie","","","RG-94","94","Polesie","unchanged_current_ids","94=POL","POL=10","POL retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","94-Polesie.txt",""
"IW-038","Ruthenia","RUT","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","73","Carpathian Ruthenia","73","Carpathian Ruthenia","","","RG-73","73","Carpathian Ruthenia","unchanged_current_ids","73=CZE","CZE=9","CZE retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","73-Carpathian Ruthenia.txt",""
"IW-039","Cossack Don","DON","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","245|238","Millerovo|Volgodonsk","245|238","Millerovo|Volgodonsk","","","RG-DON-KUBAN","245|238","Millerovo | Volgodonsk","unchanged_current_ids","238=SOV|245=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","238-volgodonsk.txt|245-Donetsk.txt",""
"IW-040","Kuban Cossack Host","KUB","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","234","Krasnodar","234","Krasnodar","","","RG-DON-KUBAN","234","Krasnodar","unchanged_current_ids","234=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","234-Krasodar.txt",""
"IW-041","Crimean Tatar state","CRI","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","137","Crimea","137","Crimea","","","RG-137","137","Crimea","unchanged_current_ids","137=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","137-Crimea.txt",""
"IW-042","Galicia-Lodomeria","GAL","high_chaos_only","ready_high_chaos","fixed_anchor_compact","91","Lwów","91|89","Lwów|Stanisławów","","","RG-91-89","91|89","Lwow | Stanislawow","unchanged_current_ids","89=POL|91=POL","POL=10","POL retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Lwów and Stanisławów remain the compact high-chaos package.","Installed state history and STATE_n localisation checked.","89-Krakow.txt|91-Tarnopol.txt",""
"IW-043","Volga Bulgaria","CHU","high_chaos_only","ready_high_chaos","fixed_anchor_compact","249|256","Kazan|Chuvashia","249|256","Kazan|Chuvashia","","","RG-MIDDLE-VOLGA-KAZAN","249|256","Kazan | Cheboksary","unchanged_current_ids","249=SOV|256=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","249-Kazan.txt|256-Cheboksary.txt",""
"IW-044","Tatarstan","TAT","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","249","Kazan","249","Kazan","","","RG-MIDDLE-VOLGA-KAZAN","249","Kazan","unchanged_current_ids","249=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","249-Kazan.txt",""
"IW-045","Bashkiria","BSK","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","651","Ufa","651","Ufa","","","RG-651","651","Ufa","unchanged_current_ids","651=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","651-Sov state 5.txt",""
"IW-046","Chuvashia","CHU","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","256","Chuvashia","256","Chuvashia","","","RG-MIDDLE-VOLGA-KAZAN","256","Cheboksary","unchanged_current_ids","256=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","256-Cheboksary.txt",""
"IW-047","Mari El","MEL","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","833","Mari El","833","Mari El","","","RG-MIDDLE-VOLGA-KAZAN","256","Cheboksary, only if a distinct Mari substate exists in the installed map","rebound_to_current_split","833=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The installed map provides a unique Mari El state.","Current state 833 is Mari El; MEL installed core is state 833. Installed state history and STATE_n localisation were also checked.","833 - Mari El.txt",""
"IW-048","Udmurtia","UDM","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","399","Udmurtia","399","Udmurtia","","","RG-399","399","Izhevsk","unchanged_current_ids","399=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","399-Izhevsk.txt",""
"IW-049","Mordovia","BWX","automatic_pool_ready_if_unique_state_exists","disabled_no_unique_current_state","unbound","","","","","","","RG-MORDOVIA","","Mordovia or Penza map group, current-map split required","unbound_current_map","","","Not selectable: no authoritative current-map binding.","Mordovia or Penza map group, current-map split required","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
"IW-050","Komi","KOM","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","397","Syktyvkar","397","Syktyvkar","262|581","Pechora|Northern Urals","RG-397","397","Syktyvkar","expanded_with_current_splits","262=SOV|397=SOV|581=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Syktyvkar is the anchor; Pechora and the northern interior are optional extensions.","KOM installed core is state 397. Installed state history and STATE_n localisation were also checked.","262-Torzhok.txt|397-Syktyvkar.txt|581-Northern Urals.txt",""
"IW-051","Sakha","YAK","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","574","Yakutsk","574","Yakutsk","644|876|877","Kolyma|Udachny|Verkhoyansk","RG-574","574","Yakutsk","expanded_with_current_splits","574=SOV|644=SOV|876=SOV|877=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Yakutsk is the anchor; Kolyma, Udachny, and Verkhoyansk are optional extensions.","Installed state history and STATE_n localisation checked.","574-Siberia 1.txt|644-state 3.txt|876-Udachny.txt|877-Verkhoyansk.txt",""
"IW-052","Buryatia","BYA","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","564","Buryatia","564","Buryatia","","","RG-564","564","Ulan Ude","unchanged_current_ids","564=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","Accepted baseline binding remains valid on the installed map.","Installed state history and STATE_n localisation checked.","564-TS 6.txt",""
"IW-053","Altai","ALT","automatic_pool_ready_if_not_living","ready_if_tag_not_living","fixed_anchor_compact","654","Oyrot Region","654","Oyrot Region","40","Altai Krai","RG-654-40","654|40","Gorno-Altaysk | Barnaul","restructured_with_current_splits","40=SOV|654=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The Oyrot Region is the anchor; Altai Krai is optional extension.","Installed state history and STATE_n localisation checked.","40-USSR.txt|654-sov state 8.txt",""
"IW-054","Khakassia","KHA","automatic_pool_ready_if_unique_state_exists","ready_unique_state_confirmed","fixed_anchor_compact","569","Khakassia","569","Khakassia","","","RG-KHAKASSIA","","Khakass or Minusinsk map group, current-map state required","new_current_state_binding","569=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The installed map provides a unique Khakassia state.","Current state 569 is Khakassia; KHA installed core is state 569. Installed state history and STATE_n localisation were also checked.","569-TS 11.txt",""
"IW-055","Nenets state","NEN","specific_community_variant_only","specific_variant_only_bound","fixed_anchor_compact","825","Nenets","825","Nenets","","","RG-579","579","Salekhard, used only when a distinct Nenets or Yamalo-Nenets package exists","rebound_to_current_split","825=SOV","SOV=219","SOV retains at least one 1936 state after the compact set. Trim extension, then compact, before losing the anchor; runtime ownership is authoritative.","The installed map provides a unique Nenets state; the package remains specific-community-only.","Current state 825 is Nenets; NEN installed core is state 825. Installed state history and STATE_n localisation were also checked.","825 - Nenetsia.txt",""
"IW-056","Evenk state","EVE","specific_community_variant_only","specific_variant_only_unbound","unbound","","","","","","","RG-EVENK-STATE","","Evenkia river-settlement map group, current-map state required","unbound_current_map","","","Not selectable: no authoritative current-map binding.","Evenkia river-settlement map group, current-map state required","Installed 1081-state map and accepted package requirement checked; no generic substitute assigned.","",""
